B_i,B_j,B_ij
0,0,3.294282e+00
1,0,2.811789e+00
2,0,2.309360e+00
3,0,1.855995e+00
4,0,1.363466e+00
5,0,8.950776e-01
6,0,5.065003e-01
7,0,1.618646e+00
8,0,6.169497e-02
9,0,1.145676e-01
10,0,1.604191e-01
11,0,1.866668e-01
12,0,1.176061e-01
13,0,8.009488e-02
14,0,7.210075e-01
15,0,6.256814e-02
16,0,1.196829e-01
17,0,1.489304e-01
18,0,1.548989e-01
19,0,1.279484e-01
20,0,6.563320e-02
21,0,1.515675e+00
22,0,4.363749e-01
23,0,8.994508e-01
24,0,1.339423e+00
25,0,1.743591e+00
26,0,2.190722e+00
27,0,2.661425e+00
28,0,3.112007e+00
29,0,3.415493e+00
30,0,2.832193e+00
31,0,2.307589e+00
32,0,1.780692e+00
33,0,1.304428e+00
34,0,8.455061e-01
35,0,3.940096e-01
36,0,8.733496e-01
37,0,4.206804e-04
38,0,-1.769047e-03
39,0,-9.860796e-04
40,0,-2.290559e-03
41,0,-2.061259e-03
42,0,-1.051516e-03
43,0,-8.011973e-03
44,0,-2.907492e-03
45,0,-4.160561e-03
46,0,-3.793635e-03
47,0,-2.993024e-03
48,0,-4.094553e-03
49,0,-2.216936e-03
50,0,7.933943e-01
51,0,3.687029e-01
52,0,7.479995e-01
53,0,1.174879e+00
54,0,1.653963e+00
55,0,2.115791e+00
56,0,2.667812e+00
57,0,3.211026e+00
58,0,3.520016e+00
59,0,2.999937e+00
60,0,2.489761e+00
61,0,2.014616e+00
62,0,1.492582e+00
63,0,1.068273e+00
64,0,4.733194e-01
65,0,1.804316e+00
66,0,9.056939e-02
67,0,1.558632e-01
68,0,1.844824e-01
69,0,1.813828e-01
70,0,1.458114e-01
71,0,8.121610e-02
72,0,8.931378e-01
73,0,7.673067e-02
74,0,1.520007e-01
75,0,1.855971e-01
76,0,1.861918e-01
77,0,1.599337e-01
78,0,8.775259e-02
79,0,1.719115e+00
80,0,4.781502e-01
81,0,9.501203e-01
82,0,1.456200e+00
83,0,1.927288e+00
84,0,2.423277e+00
85,0,2.875940e+00
86,0,3.337742e+00
87,0,3.125014e+00
88,0,2.674973e+00
89,0,2.256751e+00
90,0,1.730617e+00
91,0,1.334955e+00
92,0,8.958959e-01
93,0,4.405413e-01
94,0,7.724190e-02
95,0,1.302628e-01
96,0,1.917025e-01
97,0,1.700516e-01
98,0,1.479472e-01
99,0,7.810061e-02
100,0,7.895471e-02
101,0,1.399409e-01
102,0,1.852012e-01
103,0,1.644133e-01
104,0,1.520380e-01
105,0,7.470830e-02
106,0,5.632045e-01
107,0,1.048647e+00
108,0,1.511157e+00
109,0,1.988707e+00
110,0,2.567116e+00
111,0,3.038800e+00
112,0,3.557722e+00
113,0,3.076099e+00
114,0,2.566610e+00
115,0,2.032207e+00
116,0,1.598269e+00
117,0,1.140393e+00
118,0,7.629270e-01
119,0,3.804917e-01
120,0,-3.074228e-03
121,0,-6.477905e-03
122,0,-8.783535e-03
123,0,-6.561305e-03
124,0,-4.367009e-03
125,0,-3.148064e-03
126,0,-1.116470e-03
127,0,-7.022705e-04
128,0,1.487118e-03
129,0,1.515151e-03
130,0,5.066364e-05
131,0,1.575884e-03
132,0,4.255340e-01
133,0,8.806847e-01
134,0,1.310095e+00
135,0,1.804534e+00
136,0,2.356056e+00
137,0,2.934531e+00
138,0,3.522797e+00
139,0,3.056173e+00
140,0,2.601883e+00
141,0,2.185167e+00
142,0,1.688790e+00
143,0,1.290846e+00
144,0,8.826353e-01
145,0,4.197862e-01
146,0,7.659887e-02
147,0,1.335253e-01
148,0,1.540702e-01
149,0,1.703607e-01
150,0,1.382662e-01
151,0,6.090401e-02
152,0,7.795216e-02
153,0,1.503879e-01
154,0,1.664662e-01
155,0,1.887913e-01
156,0,1.333479e-01
157,0,7.778108e-02
158,0,4.857238e-01
159,0,1.005723e+00
160,0,1.514836e+00
161,0,1.985447e+00
162,0,2.483140e+00
163,0,2.987574e+00
164,0,3.488880e+00
