B_i,B_j,B_ij
0,0,0.000000e+00
1,0,-2.440911e-01
2,0,-4.214946e-01
3,0,-5.590153e-01
4,0,-6.570653e-01
5,0,-6.666563e-01
6,0,-6.141233e-01
7,0,-4.755888e-01
8,0,-3.021854e-01
9,0,-6.007624e-01
10,0,-9.808334e-02
11,0,-1.352734e-01
12,0,-1.353435e-01
13,0,-1.648608e-01
14,0,-1.634396e-01
15,0,-1.425636e-01
16,0,-1.143777e-01
17,0,-6.335307e-02
18,0,-6.025754e-01
19,0,-2.841613e-01
20,0,-5.334297e-01
21,0,-6.111926e-01
22,0,-6.774494e-01
23,0,-6.424444e-01
24,0,-5.388577e-01
25,0,-4.375856e-01
26,0,-2.483334e-01
27,0,0.000000e+00
28,0,0.000000e+00
29,0,-2.568435e-01
30,0,-4.190636e-01
31,0,-5.678637e-01
32,0,-6.441025e-01
33,0,-6.632135e-01
34,0,-6.100383e-01
35,0,-4.924303e-01
36,0,-3.224404e-01
37,0,-6.092931e-01
38,0,-7.769323e-02
39,0,-1.227039e-01
40,0,-1.598942e-01
41,0,-1.794021e-01
42,0,-1.633124e-01
43,0,-1.593825e-01
44,0,-1.230853e-01
45,0,-8.054694e-02
46,0,-6.002158e-01
47,0,-3.147071e-01
48,0,-4.963468e-01
49,0,-6.000625e-01
50,0,-6.696141e-01
51,0,-6.451170e-01
52,0,-5.671200e-01
53,0,-4.222194e-01
54,0,-2.489966e-01
55,0,0.000000e+00
56,0,0.000000e+00
57,0,-2.581090e-01
58,0,-4.546771e-01
59,0,-5.646687e-01
60,0,-6.423680e-01
61,0,-6.652961e-01
62,0,-6.184582e-01
63,0,-4.990116e-01
64,0,-3.033974e-01
65,0,-8.323243e-02
66,0,-1.176282e-01
67,0,-1.672322e-01
68,0,-1.471124e-01
69,0,-1.747614e-01
70,0,-1.366682e-01
71,0,-1.274910e-01
72,0,-6.283182e-02
73,0,-2.811949e-01
74,0,-5.030504e-01
75,0,-6.111262e-01
76,0,-6.602643e-01
77,0,-6.395669e-01
78,0,-5.629392e-01
79,0,-4.234353e-01
80,0,-2.449287e-01
81,0,0.000000e+00
82,0,0.000000e+00
83,0,-2.597817e-01
84,0,-3.960068e-01
85,0,-5.774422e-01
86,0,-6.477122e-01
87,0,-6.585193e-01
88,0,-6.278862e-01
89,0,-4.937593e-01
90,0,-3.316500e-01
91,0,-6.874645e-02
92,0,-1.168223e-01
93,0,-1.642030e-01
94,0,-1.639186e-01
95,0,-1.758746e-01
96,0,-1.399345e-01
97,0,-1.296489e-01
98,0,-6.470953e-02
99,0,-2.758318e-01
100,0,-5.124621e-01
101,0,-6.089344e-01
102,0,-6.654450e-01
103,0,-6.277239e-01
104,0,-5.554162e-01
105,0,-4.271668e-01
106,0,-2.318331e-01
107,0,0.000000e+00
