G_i,G_j,G_ij
0,0,1.000000e+00
62,0,1.223699e-06
63,0,1.536630e-05
64,0,-1.080604e-05
65,0,1.134289e-05
66,0,2.841605e-05
67,0,-1.889346e-05
68,0,-1.077083e-06
69,0,2.888320e-05
70,0,-7.340537e-04
71,0,-3.968809e-06
72,0,-1.039366e-07
73,0,-5.361211e-06
74,0,-1.205428e-05
75,0,-2.630236e-06
76,0,-5.747410e-06
184,0,-3.099014e-04
185,0,2.500230e-07
186,0,1.283981e-06
187,0,1.881196e-05
188,0,-1.507868e-05
189,0,-8.348471e-05
190,0,-2.153876e-05
191,0,-1.826526e-05
192,0,-1.052994e-05
193,0,-9.659392e-05
194,0,1.088717e-06
195,0,-3.085823e-05
196,0,-2.746362e-05
197,0,-5.594255e-06
198,0,9.462355e-06
199,0,-3.576543e-04
200,0,1.462411e-05
201,0,-6.621126e-06
202,0,7.382427e-05
203,0,-1.579961e-05
204,0,-1.707675e-04
205,0,-2.017562e-06
206,0,3.947653e-05
207,0,9.926578e-06
208,0,1.061182e-05
209,0,2.956870e-05
210,0,2.674084e-06
211,0,3.535070e-07
1,1,1.000000e+00
62,1,-7.520209e-06
63,1,-2.394282e-04
64,1,5.792349e-05
65,1,-1.214852e-03
66,1,-1.999050e-03
67,1,-9.353915e-04
68,1,-1.057802e-03
69,1,-3.587546e-04
70,1,-2.863762e-03
71,1,2.252980e-05
72,1,-1.229970e-08
73,1,4.217953e-05
74,1,9.986515e-05
75,1,2.656595e-05
76,1,2.274631e-05
184,1,-1.455839e-03
185,1,-1.780093e-06
186,1,-9.507372e-06
187,1,-7.545715e-04
188,1,1.169690e-04
189,1,-8.780184e-04
190,1,1.422363e-04
191,1,1.757610e-04
192,1,7.280134e-05
193,1,-1.293214e-03
194,1,-3.940796e-05
195,1,2.242740e-04
196,1,2.140312e-04
197,1,5.813898e-05
198,1,-1.224545e-04
199,1,-1.675354e-03
200,1,-9.189867e-05
201,1,3.634755e-05
202,1,-9.237188e-04
203,1,1.458427e-04
204,1,-1.068101e-03
205,1,3.469606e-05
206,1,-8.509828e-04
207,1,-1.371205e-03
208,1,-1.125818e-04
209,1,-8.671911e-04
210,1,-4.243652e-05
211,1,-3.535966e-06
2,2,1.000000e+00
62,2,2.410834e-05
63,2,-1.614300e-03
64,2,-1.736471e-03
65,2,-2.148486e-03
66,2,-2.651219e-03
67,2,-9.905251e-04
68,2,-8.790186e-04
69,2,-1.716678e-03
70,2,6.257334e-04
71,2,-4.789597e-05
72,2,5.930267e-06
73,2,-2.508464e-04
74,2,-8.526503e-04
75,2,-8.592646e-04
76,2,-1.245933e-03
184,2,1.140313e-03
185,2,7.222352e-06
186,2,5.185242e-05
187,2,-2.921518e-03
188,2,-1.079296e-03
189,2,-1.991074e-03
190,2,-1.919152e-03
191,2,-2.108872e-03
192,2,-1.800037e-03
193,2,-3.126812e-04
194,2,-2.048230e-03
195,2,-2.849765e-03
196,2,-2.473692e-03
197,2,-1.137596e-03
198,2,-1.978249e-03
199,2,1.017107e-03
200,2,3.245311e-04
201,2,-8.489106e-05
202,2,-2.712031e-03
203,2,-1.418657e-03
204,2,-1.023713e-03
205,2,-2.330594e-03
206,2,-7.691403e-04
207,2,-1.221410e-03
208,2,-2.379157e-04
209,2,-1.048081e-03
210,2,-3.233766e-03
211,2,2.350778e-05
3,3,1.000000e+00
62,3,-5.368260e-05
63,3,1.682254e-04
64,3,-3.304870e-03
65,3,-1.955221e-03
66,3,-1.653511e-03
67,3,-8.337575e-04
68,3,-2.856005e-03
69,3,-1.593042e-03
70,3,-3.351391e-03
71,3,-8.196743e-04
72,3,-7.957189e-04
73,3,-1.477844e-03
74,3,-7.493437e-04
75,3,-1.103916e-03
76,3,-5.395102e-04
184,3,-1.100647e-03
185,3,-2.388911e-05
186,3,-6.023294e-04
187,3,-2.714737e-03
188,3,-2.000898e-03
189,3,-3.177784e-03
190,3,-8.106589e-04
191,3,-3.602843e-03
192,3,-1.460565e-03
193,3,-4.244996e-03
194,3,-2.902954e-03
195,3,-1.415499e-03
196,3,-2.837737e-03
197,3,-4.486918e-03
198,3,8.695193e-04
199,3,-4.904469e-03
200,3,-1.103250e-03
