Gvar_i,Gvar_j,Gvar_ij
64,0,1.308541e-10
65,0,3.895065e-09
66,0,1.272634e-11
67,0,4.091585e-10
68,0,1.165553e-07
69,0,1.863312e-07
70,0,2.299017e-10
71,0,9.931722e-08
72,0,2.439090e-09
73,0,2.073084e-08
74,0,1.825346e-09
75,0,4.316703e-09
76,0,1.306526e-08
77,0,1.064151e-09
78,0,4.052431e-04
79,0,1.687532e-08
80,0,3.610495e-10
81,0,1.055716e-06
82,0,2.150300e-08
83,0,2.157354e-09
84,0,1.777838e-08
85,0,9.906401e-10
86,0,3.060002e-09
87,0,2.138199e-09
88,0,4.954951e-08
89,0,4.742909e-09
90,0,3.681490e-09
91,0,2.279030e-04
92,0,1.995485e-08
93,0,4.443695e-10
94,0,3.891936e-08
95,0,2.463278e-09
96,0,4.868961e-10
97,0,4.114740e-09
98,0,6.737447e-09
99,0,4.123238e-05
100,0,6.920668e-09
101,0,1.937374e-09
102,0,4.270615e-09
103,0,3.379576e-05
104,0,4.818372e-08
105,0,1.990515e-08
106,0,2.125864e-07
107,0,3.101401e-08
108,0,2.271425e-08
109,0,1.655408e-06
110,0,1.550508e-09
111,0,5.713974e-08
112,0,2.777572e-09
113,0,6.174274e-04
114,0,1.399284e-08
115,0,1.757971e-08
116,0,1.972918e-09
117,0,3.702727e-10
118,0,1.640881e-08
119,0,1.228196e-10
120,0,1.640479e-09
121,0,1.163743e-10
122,0,4.715396e-11
123,0,4.954796e-12
64,1,6.102270e-09
65,1,2.469924e-07
66,1,5.586936e-10
67,1,1.980860e-08
68,1,4.707783e-04
69,1,5.384975e-05
70,1,1.059493e-08
71,1,1.778152e-05
72,1,1.481319e-07
73,1,7.453196e-04
74,1,9.900064e-08
75,1,2.971394e-07
76,1,1.362159e-06
77,1,5.329686e-08
78,1,3.370835e-04
79,1,1.388204e-06
80,1,1.691820e-08
81,1,1.019748e-03
82,1,2.927333e-06
83,1,1.139917e-07
84,1,1.400709e-06
