index,APL,WCtime,RNGCalls,Estimated_Variance,Estimated_Variance_VR,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
0,-nan,0.000000e+00,0.000000e+00,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,inf,0.000000e+00,6.941600e+04,1.280085e-01,2.316974e-03,-1.256256e+00,-1.237483e+00,1.290976e-01,-3.234400e-01,1.644249e-02,1.657790e-02
2,inf,0.000000e+00,9.994600e+04,2.104215e-01,2.872960e-03,-1.521348e+00,-1.536098e+00,2.122712e-01,-6.208939e-01,5.814640e-03,5.855201e-03
3,inf,0.000000e+00,1.206420e+05,2.245796e-01,3.019694e-03,-1.867160e+00,-1.888389e+00,2.267770e-01,-7.454385e-01,1.210134e-02,1.222877e-02
4,inf,0.000000e+00,1.357320e+05,2.558775e-01,3.220973e-03,-1.881578e+00,-1.909392e+00,2.584941e-01,-9.228913e-01,-5.656783e-03,-5.639753e-03
5,inf,0.000000e+00,1.394040e+05,2.292887e-01,3.117871e-03,-2.055224e+00,-2.053287e+00,2.318793e-01,-8.631824e-01,-1.698073e-02,-1.712861e-02
6,inf,0.000000e+00,1.218720e+05,1.853878e-01,2.892833e-03,-2.175445e+00,-2.135574e+00,1.875992e-01,-7.370111e-01,-2.040524e-02,-2.049938e-02
7,inf,0.000000e+00,1.076020e+05,1.329028e-01,2.366753e-03,-2.085697e+00,-1.928866e+00,1.345038e-01,-5.403523e-01,-4.342777e-02,-4.370386e-02
8,inf,0.000000e+00,6.770200e+04,6.922618e-02,1.437602e-03,-2.131943e+00,-1.721157e+00,7.012448e-02,-2.766920e-01,-5.259774e-02,-5.270180e-02
9,inf,0.000000e+00,3.224620e+05,3.599094e-01,8.329457e-03,-2.521506e+00,-2.521506e+00,3.599094e-01,-1.564519e+00,0.000000e+00,0.000000e+00
10,inf,0.000000e+00,6.941600e+04,6.807342e-02,1.341920e-03,-2.061600e+00,-1.638628e+00,6.893547e-02,-2.724592e-01,-6.305421e-02,-6.322110e-02
11,inf,0.000000e+00,9.994600e+04,1.326201e-01,2.519424e-03,-2.106613e+00,-2.002233e+00,1.342635e-01,-5.286998e-01,-3.404038e-02,-3.414337e-02
12,inf,0.000000e+00,1.206420e+05,1.741592e-01,3.010412e-03,-1.917909e+00,-1.819371e+00,1.762357e-01,-6.797205e-01,-4.376150e-02,-4.405126e-02
13,inf,0.000000e+00,1.357320e+05,2.234787e-01,3.305415e-03,-2.087976e+00,-2.094590e+00,2.259982e-01,-8.550548e-01,-2.863545e-02,-2.880999e-02
14,inf,0.000000e+00,1.394040e+05,2.582630e-01,3.197133e-03,-1.821345e+00,-1.834568e+00,2.608873e-01,-9.334458e-01,-2.038726e-02,-2.049547e-02
15,inf,0.000000e+00,1.218720e+05,2.517669e-01,3.075337e-03,-1.786741e+00,-1.812144e+00,2.541821e-01,-8.350315e-01,-7.339031e-03,-7.379297e-03
16,inf,0.000000e+00,1.076020e+05,2.154809e-01,2.916619e-03,-1.510962e+00,-1.540094e+00,2.173653e-01,-6.474717e-01,3.146673e-03,3.192690e-03
17,inf,0.000000e+00,6.770200e+04,1.374571e-01,2.585854e-03,-1.259311e+00,-1.257902e+00,1.386093e-01,-3.521201e-01,1.428227e-02,1.441493e-02
18,-nan,0.000000e+00,0.000000e+00,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
19,-nan,0.000000e+00,0.000000e+00,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
20,inf,0.000000e+00,6.807800e+04,1.314638e-01,2.419137e-03,-1.249100e+00,-1.241792e+00,1.325419e-01,-3.354262e-01,1.509016e-02,1.521410e-02
21,inf,0.000000e+00,1.012740e+05,2.120442e-01,2.925066e-03,-1.477682e+00,-1.511394e+00,2.139186e-01,-6.225853e-01,-1.709152e-03,-1.742330e-03
22,inf,0.000000e+00,1.233580e+05,2.569851e-01,3.066258e-03,-1.738698e+00,-1.774855e+00,2.592171e-01,-8.499605e-01,-4.059654e-04,-3.734575e-04
23,inf,0.000000e+00,1.354400e+05,2.543981e-01,3.230281e-03,-1.894723e+00,-1.920508e+00,2.568292e-01,-9.086754e-01,-8.307664e-03,-8.298773e-03
24,inf,0.000000e+00,1.360800e+05,2.236940e-01,3.178756e-03,-2.018846e+00,-2.012701e+00,2.259526e-01,-8.441030e-01,-1.966046e-02,-1.974467e-02
25,inf,0.000000e+00,1.234340e+05,1.783545e-01,3.164887e-03,-1.966023e+00,-1.888528e+00,1.803318e-01,-7.052704e-01,-3.491677e-02,-3.510904e-02
26,inf,0.000000e+00,1.047140e+05,1.304279e-01,2.541567e-03,-1.942813e+00,-1.807022e+00,1.319053e-01,-5.226318e-01,-3.503333e-02,-3.522952e-02
27,inf,0.000000e+00,6.532400e+04,5.708555e-02,1.257960e-03,-2.008041e+00,-1.406147e+00,5.777787e-02,-2.302838e-01,-7.877153e-02,-7.900659e-02
28,inf,0.000000e+00,6.807800e+04,6.741737e-02,1.563815e-03,-2.176742e+00,-1.783089e+00,6.828026e-02,-2.723153e-01,-5.343796e-02,-5.364787e-02
29,inf,0.000000e+00,1.012740e+05,1.389989e-01,2.426010e-03,-2.256109e+00,-2.166103e+00,1.397189e-01,-2.413021e-01,-2.132360e-02,-3.124709e-02
30,inf,0.000000e+00,1.233580e+05,1.008709e-01,2.089460e-02,-1.672793e+00,-1.627564e+00,1.823056e-01,-3.032429e-01,-1.749031e-02,-2.582761e-02
31,inf,0.000000e+00,1.354400e+05,1.295535e-01,2.443701e-02,-1.526267e+00,-1.524660e+00,2.252978e-01,-3.650410e-01,-9.639315e-03,-1.444891e-02
32,inf,0.000000e+00,1.360800e+05,1.473864e-01,2.529324e-02,-1.367729e+00,-1.380301e+00,2.449833e-01,-3.785312e-01,-3.650071e-03,-5.630819e-03
33,inf,0.000000e+00,1.234340e+05,1.590769e-01,2.632866e-02,-1.327084e+00,-1.355301e+00,2.494848e-01,-3.433214e-01,-1.110012e-03,-1.167008e-03
34,inf,0.000000e+00,1.047140e+05,1.369346e-01,2.272000e-02,-1.128955e+00,-1.147225e+00,2.115415e-01,-2.559114e-01,3.385219e-03,5.323294e-03
35,inf,0.000000e+00,6.532400e+04,7.418368e-02,1.239749e-02,-1.122661e+00,-1.111096e+00,1.130226e-01,-1.182291e-01,1.675060e-02,2.575309e-02
36,-nan,0.000000e+00,0.000000e+00,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan


