Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-5.000000e+01,-1.000000e+02,3.450488e+00,3.450488e+00,-4.440892e-16,1.287033e-16
1,-5.000000e+01,-9.838710e+01,3.526920e+00,3.526585e+00,-3.348644e-04,9.494527e-05
2,-5.000000e+01,-9.677419e+01,3.583710e+00,3.583801e+00,9.079698e-05,2.533603e-05
3,-5.000000e+01,-9.516129e+01,3.620959e+00,3.621005e+00,4.581479e-05,1.265267e-05
4,-5.000000e+01,-9.354839e+01,3.639292e+00,3.639235e+00,-5.700282e-05,1.566316e-05
5,-5.000000e+01,-9.193548e+01,3.639619e+00,3.639731e+00,1.115947e-04,3.066110e-05
6,-5.000000e+01,-9.032258e+01,3.623108e+00,3.623051e+00,-5.733797e-05,1.582563e-05
7,-5.000000e+01,-8.870968e+01,3.591221e+00,3.591021e+00,-1.994879e-04,5.554877e-05
8,-5.000000e+01,-8.709677e+01,3.545717e+00,3.545266e+00,-4.518264e-04,1.274288e-04
9,-5.000000e+01,-8.548387e+01,3.488588e+00,3.488584e+00,-4.317483e-06,1.237602e-06
10,-5.000000e+01,-8.387097e+01,3.421892e+00,3.421538e+00,-3.541963e-04,1.035089e-04
11,-5.000000e+01,-8.225806e+01,3.347493e+00,3.347207e+00,-2.860927e-04,8.546476e-05
12,-5.000000e+01,-8.064516e+01,3.266662e+00,3.266087e+00,-5.743163e-04,1.758114e-04
13,-5.000000e+01,-7.903226e+01,3.179585e+00,3.178731e+00,-8.537220e-04,2.685011e-04
14,-5.000000e+01,-7.741935e+01,3.085008e+00,3.083943e+00,-1.064792e-03,3.451504e-04
15,-5.000000e+01,-7.580645e+01,2.980688e+00,2.979936e+00,-7.520369e-04,2.523031e-04
16,-5.000000e+01,-7.419355e+01,2.865813e+00,2.865527e+00,-2.862637e-04,9.988918e-05
17,-5.000000e+01,-7.258065e+01,2.745300e+00,2.744839e+00,-4.606419e-04,1.677929e-04
18,-5.000000e+01,-7.096774e+01,2.631833e+00,2.631358e+00,-4.750571e-04,1.805043e-04
19,-5.000000e+01,-6.935484e+01,2.540617e+00,2.539841e+00,-7.757256e-04,3.053296e-04
20,-5.000000e+01,-6.774194e+01,2.480893e+00,2.480146e+00,-7.478600e-04,3.014479e-04
21,-5.000000e+01,-6.612903e+01,2.453297e+00,2.453010e+00,-2.862937e-04,1.166976e-04
22,-5.000000e+01,-6.451613e+01,2.453263e+00,2.452715e+00,-5.477431e-04,2.232713e-04
23,-5.000000e+01,-6.290323e+01,2.474922e+00,2.473629e+00,-1.292775e-03,5.223500e-04
24,-5.000000e+01,-6.129032e+01,2.512936e+00,2.512129e+00,-8.067499e-04,3.210388e-04
25,-5.000000e+01,-5.967742e+01,2.562863e+00,2.562402e+00,-4.606505e-04,1.797406e-04
26,-5.000000e+01,-5.806452e+01,2.621019e+00,2.620216e+00,-8.035639e-04,3.065845e-04
27,-5.000000e+01,-5.645161e+01,2.684300e+00,2.683862e+00,-4.379455e-04,1.631507e-04
28,-5.000000e+01,-5.483871e+01,2.750091e+00,2.749340e+00,-7.510932e-04,2.731157e-04
29,-5.000000e+01,-5.322581e+01,2.816275e+00,2.815517e+00,-7.578237e-04,2.690873e-04
30,-5.000000e+01,-5.161290e+01,2.881268e+00,2.880426e+00,-8.427873e-04,2.925056e-04
31,-5.000000e+01,-5.000000e+01,2.944065e+00,2.943564e+00,-5.013058e-04,1.702767e-04
32,-5.000000e+01,-4.838710e+01,3.004172e+00,3.003359e+00,-8.127734e-04,2.705483e-04
33,-5.000000e+01,-4.677419e+01,3.061359e+00,3.059816e+00,-1.543469e-03,5.041775e-04
34,-5.000000e+01,-4.516129e+01,3.115190e+00,3.114319e+00,-8.704080e-04,2.794077e-04
35,-5.000000e+01,-4.354839e+01,3.164436e+00,3.163581e+00,-8.551991e-04,2.702532e-04
36,-5.000000e+01,-4.193548e+01,3.206769e+00,3.205879e+00,-8.902089e-04,2.776030e-04
37,-5.000000e+01,-4.032258e+01,3.239059e+00,3.237973e+00,-1.085341e-03,3.350791e-04
38,-5.000000e+01,-3.870968e+01,3.258230e+00,3.256899e+00,-1.331348e-03,4.086108e-04
39,-5.000000e+01,-3.709677e+01,3.262142e+00,3.261057e+00,-1.084534e-03,3.324608e-04
40,-5.000000e+01,-3.548387e+01,3.249970e+00,3.248868e+00,-1.101709e-03,3.389906e-04
41,-5.000000e+01,-3.387097e+01,3.222055e+00,3.221574e+00,-4.809630e-04,1.492721e-04
42,-5.000000e+01,-3.225806e+01,3.179527e+00,3.178502e+00,-1.024862e-03,3.223316e-04
43,-5.000000e+01,-3.064516e+01,3.124020e+00,3.122965e+00,-1.054740e-03,3.376227e-04
44,-5.000000e+01,-2.903226e+01,3.057634e+00,3.056039e+00,-1.594582e-03,5.215087e-04
45,-5.000000e+01,-2.741935e+01,2.983090e+00,2.981868e+00,-1.222236e-03,4.097213e-04
46,-5.000000e+01,-2.580645e+01,2.903881e+00,2.902693e+00,-1.188594e-03,4.093120e-04
47,-5.000000e+01,-2.419355e+01,2.824120e+00,2.822881e+00,-1.238740e-03,4.386286e-04
48,-5.000000e+01,-2.258065e+01,2.747965e+00,2.746328e+00,-1.636910e-03,5.956809e-04
49,-5.000000e+01,-2.096774e+01,2.678824e+00,2.677093e+00,-1.730772e-03,6.460940e-04
50,-5.000000e+01,-1.935484e+01,2.618782e+00,2.617272e+00,-1.510427e-03,5.767668e-04
51,-5.000000e+01,-1.774194e+01,2.568552e+00,2.567096e+00,-1.456647e-03,5.671080e-04
52,-5.000000e+01,-1.612903e+01,2.527843e+00,2.526619e+00,-1.224194e-03,4.842841e-04
53,-5.000000e+01,-1.451613e+01,2.495856e+00,2.494662e+00,-1.194029e-03,4.784045e-04
54,-5.000000e+01,-1.290323e+01,2.471701e+00,2.469921e+00,-1.779301e-03,7.198692e-04
55,-5.000000e+01,-1.129032e+01,2.454661e+00,2.453467e+00,-1.193583e-03,4.862518e-04
56,-5.000000e+01,-9.677419e+00,2.444376e+00,2.442930e+00,-1.446121e-03,5.916117e-04
57,-5.000000e+01,-8.064516e+00,2.440997e+00,2.440033e+00,-9.649015e-04,3.952898e-04
58,-5.000000e+01,-6.451613e+00,2.445386e+00,2.444065e+00,-1.321714e-03,5.404929e-04
59,-5.000000e+01,-4.838710e+00,2.459336e+00,2.457815e+00,-1.520937e-03,6.184342e-04
60,-5.000000e+01,-3.225806e+00,2.485699e+00,2.484188e+00,-1.511615e-03,6.081246e-04
61,-5.000000e+01,-1.612903e+00,2.528001e+00,2.526520e+00,-1.480789e-03,5.857548e-04
62,-5.000000e+01,0.000000e+00,2.588799e+00,2.587767e+00,-1.032198e-03,3.987169e-04
63,-5.000000e+01,1.612903e+00,2.666519e+00,2.665129e+00,-1.390343e-03,5.214075e-04
64,-5.000000e+01,3.225806e+00,2.752931e+00,2.751516e+00,-1.414577e-03,5.138440e-04
65,-5.000000e+01,4.838710e+00,2.835497e+00,2.834483e+00,-1.013914e-03,3.575791e-04
66,-5.000000e+01,6.451613e+00,2.904343e+00,2.902814e+00,-1.528257e-03,5.261974e-04
67,-5.000000e+01,8.064516e+00,2.956777e+00,2.955631e+00,-1.145899e-03,3.875501e-04
68,-5.000000e+01,9.677419e+00,2.995776e+00,2.994643e+00,-1.132853e-03,3.781499e-04
69,-5.000000e+01,1.129032e+01,3.026192e+00,3.024784e+00,-1.408402e-03,4.654041e-04
70,-5.000000e+01,1.290323e+01,3.052336e+00,3.051131e+00,-1.204743e-03,3.946953e-04
71,-5.000000e+01,1.451613e+01,3.077296e+00,3.075852e+00,-1.444782e-03,4.694971e-04
72,-5.000000e+01,1.612903e+01,3.103062e+00,3.101867e+00,-1.195031e-03,3.851134e-04
73,-5.000000e+01,1.774194e+01,3.130814e+00,3.129770e+00,-1.044149e-03,3.335072e-04
74,-5.000000e+01,1.935484e+01,3.161148e+00,3.160050e+00,-1.097841e-03,3.472918e-04
75,-5.000000e+01,2.096774e+01,3.194195e+00,3.193332e+00,-8.636463e-04,2.703799e-04
76,-5.000000e+01,2.258065e+01,3.229663e+00,3.228298e+00,-1.365846e-03,4.229067e-04
77,-5.000000e+01,2.419355e+01,3.266806e+00,3.265815e+00,-9.911395e-04,3.033971e-04
78,-5.000000e+01,2.580645e+01,3.304340e+00,3.303520e+00,-8.198991e-04,2.481280e-04
79,-5.000000e+01,2.741935e+01,3.340323e+00,3.339199e+00,-1.123991e-03,3.364917e-04
80,-5.000000e+01,2.903226e+01,3.372031e+00,3.370457e+00,-1.573614e-03,4.666667e-04
81,-5.000000e+01,3.064516e+01,3.395981e+00,3.395190e+00,-7.908399e-04,2.328753e-04
82,-5.000000e+01,3.225806e+01,3.408358e+00,3.407411e+00,-9.470290e-04,2.778549e-04
83,-5.000000e+01,3.387097e+01,3.406146e+00,3.405563e+00,-5.826680e-04,1.710637e-04
84,-5.000000e+01,3.548387e+01,3.388786e+00,3.388060e+00,-7.258502e-04,2.141918e-04
85,-5.000000e+01,3.709677e+01,3.359212e+00,3.358818e+00,-3.940193e-04,1.172952e-04
86,-5.000000e+01,3.870968e+01,3.322860e+00,3.321966e+00,-8.933578e-04,2.688521e-04
87,-5.000000e+01,4.032258e+01,3.284997e+00,3.283713e+00,-1.283599e-03,3.907458e-04
88,-5.000000e+01,4.193548e+01,3.248581e+00,3.246973e+00,-1.608269e-03,4.950682e-04
89,-5.000000e+01,4.354839e+01,3.214056e+00,3.212812e+00,-1.243666e-03,3.869461e-04
90,-5.000000e+01,4.516129e+01,3.180455e+00,3.179601e+00,-8.534759e-04,2.683503e-04
91,-5.000000e+01,4.677419e+01,3.146612e+00,3.145686e+00,-9.254653e-04,2.941149e-04
92,-5.000000e+01,4.838710e+01,3.111892e+00,3.111084e+00,-8.076516e-04,2.595371e-04
93,-5.000000e+01,5.000000e+01,3.076434e+00,3.076047e+00,-3.870253e-04,1.258032e-04
94,-5.000000e+01,5.161290e+01,3.041051e+00,3.040318e+00,-7.334355e-04,2.411783e-04
95,-5.000000e+01,5.322581e+01,3.006912e+00,3.006181e+00,-7.304189e-04,2.429133e-04
96,-5.000000e+01,5.483871e+01,2.975086e+00,2.974447e+00,-6.388575e-04,2.147358e-04
97,-5.000000e+01,5.645161e+01,2.946121e+00,2.945482e+00,-6.390000e-04,2.168954e-04
98,-5.000000e+01,5.806452e+01,2.919863e+00,2.918776e+00,-1.087305e-03,3.723821e-04
99,-5.000000e+01,5.967742e+01,2.895689e+00,2.894835e+00,-8.537709e-04,2.948420e-04
100,-5.000000e+01,6.129032e+01,2.873038e+00,2.872475e+00,-5.629228e-04,1.959330e-04
101,-5.000000e+01,6.290323e+01,2.851885e+00,2.851687e+00,-1.976816e-04,6.931611e-05
102,-5.000000e+01,6.451613e+01,2.832861e+00,2.832345e+00,-5.156522e-04,1.820252e-04
103,-5.000000e+01,6.612903e+01,2.816975e+00,2.816340e+00,-6.345684e-04,2.252659e-04
104,-5.000000e+01,6.774194e+01,2.805138e+00,2.804265e+00,-8.730661e-04,3.112382e-04
105,-5.000000e+01,6.935484e+01,2.797717e+00,2.797172e+00,-5.443065e-04,1.945538e-04
106,-5.000000e+01,7.096774e+01,2.794260e+00,2.794054e+00,-2.061085e-04,7.376138e-05
107,-5.000000e+01,7.258065e+01,2.793507e+00,2.792827e+00,-6.804141e-04,2.435698e-04
108,-5.000000e+01,7.419355e+01,2.793814e+00,2.793433e+00,-3.805262e-04,1.362031e-04
109,-5.000000e+01,7.580645e+01,2.794073e+00,2.793641e+00,-4.316795e-04,1.544983e-04
110,-5.000000e+01,7.741935e+01,2.794886e+00,2.794830e+00,-5.670060e-05,2.028726e-05
111,-5.000000e+01,7.903226e+01,2.799092e+00,2.798553e+00,-5.391796e-04,1.926266e-04
112,-5.000000e+01,8.064516e+01,2.810633e+00,2.810618e+00,-1.518973e-05,5.404380e-06
113,-5.000000e+01,8.225806e+01,2.832120e+00,2.831932e+00,-1.872804e-04,6.612729e-05
114,-5.000000e+01,8.387097e+01,2.863024e+00,2.862365e+00,-6.594850e-04,2.303456e-04
115,-5.000000e+01,8.548387e+01,2.899864e+00,2.899437e+00,-4.269362e-04,1.472263e-04
116,-5.000000e+01,8.709677e+01,2.937705e+00,2.937249e+00,-4.560753e-04,1.552488e-04
