Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,0.100000,0.000000,1.100000e+00,1.100000e+00,0.000000e+00,0.000000e+00
1,0.100000,0.003226,1.103132e+00,1.100758e+00,-2.373915e-03,-2.151977e-03
2,0.100000,0.006452,1.106263e+00,1.102593e+00,-3.670341e-03,-3.317784e-03
3,0.100000,0.009677,1.109393e+00,1.104439e+00,-4.953690e-03,-4.465225e-03
4,0.100000,0.012903,1.112523e+00,1.106310e+00,-6.212608e-03,-5.584251e-03
5,0.100000,0.016129,1.115651e+00,1.108209e+00,-7.442313e-03,-6.670825e-03
6,0.100000,0.019355,1.118778e+00,1.110127e+00,-8.650559e-03,-7.732150e-03
7,0.100000,0.022581,1.121903e+00,1.112063e+00,-9.840404e-03,-8.771172e-03
8,0.100000,0.025806,1.125026e+00,1.114013e+00,-1.101302e-02,-9.789122e-03
9,0.100000,0.029032,1.128146e+00,1.115958e+00,-1.218769e-02,-1.080329e-02
10,0.100000,0.032258,1.131263e+00,1.117893e+00,-1.337038e-02,-1.181899e-02
11,0.100000,0.035484,1.134377e+00,1.119821e+00,-1.455586e-02,-1.283159e-02
12,0.100000,0.038710,1.137487e+00,1.121742e+00,-1.574549e-02,-1.384235e-02
13,0.100000,0.041935,1.140594e+00,1.123654e+00,-1.694000e-02,-1.485191e-02
14,0.100000,0.045161,1.143696e+00,1.125580e+00,-1.811590e-02,-1.583978e-02
15,0.100000,0.048387,1.146794e+00,1.127553e+00,-1.924066e-02,-1.677778e-02
16,0.100000,0.051613,1.149887e+00,1.129608e+00,-2.027938e-02,-1.763598e-02
17,0.100000,0.054839,1.152975e+00,1.131747e+00,-2.122810e-02,-1.841158e-02
18,0.100000,0.058065,1.156057e+00,1.133952e+00,-2.210509e-02,-1.912111e-02
19,0.100000,0.061290,1.159134e+00,1.136185e+00,-2.294873e-02,-1.979817e-02
20,0.100000,0.064516,1.162205e+00,1.138400e+00,-2.380527e-02,-2.048285e-02
21,0.100000,0.067742,1.165269e+00,1.140548e+00,-2.472110e-02,-2.121493e-02
22,0.100000,0.070968,1.168327e+00,1.142582e+00,-2.574453e-02,-2.203538e-02
23,0.100000,0.074194,1.171377e+00,1.144460e+00,-2.691710e-02,-2.297903e-02
24,0.100000,0.077419,1.174420e+00,1.146149e+00,-2.827116e-02,-2.407244e-02
25,0.100000,0.080645,1.177456e+00,1.147689e+00,-2.976718e-02,-2.528093e-02
26,0.100000,0.083871,1.180484e+00,1.149126e+00,-3.135839e-02,-2.656401e-02
27,0.100000,0.087097,1.183503e+00,1.150505e+00,-3.299780e-02,-2.788147e-02
28,0.100000,0.090323,1.186514e+00,1.151865e+00,-3.464850e-02,-2.920193e-02
29,0.100000,0.093548,1.189516e+00,1.153234e+00,-3.628162e-02,-3.050117e-02
30,0.100000,0.096774,1.192508e+00,1.154645e+00,-3.786296e-02,-3.175070e-02
31,0.100000,0.100000,1.195492e+00,1.156784e+00,-3.870841e-02,-3.237864e-02
32,0.100000,0.103226,1.198465e+00,1.157763e+00,-4.070197e-02,-3.396176e-02
33,0.100000,0.106452,1.201428e+00,1.159539e+00,-4.188916e-02,-3.486614e-02
34,0.100000,0.109677,1.204381e+00,1.161490e+00,-4.289081e-02,-3.561233e-02
35,0.100000,0.112903,1.207323e+00,1.163594e+00,-4.372896e-02,-3.621977e-02
36,0.100000,0.116129,1.210254e+00,1.165826e+00,-4.442790e-02,-3.670956e-02
37,0.100000,0.119355,1.213174e+00,1.168159e+00,-4.501493e-02,-3.710509e-02
38,0.100000,0.122581,1.216082e+00,1.170560e+00,-4.552233e-02,-3.743360e-02
39,0.100000,0.125806,1.218979e+00,1.172974e+00,-4.600500e-02,-3.774060e-02
40,0.100000,0.129032,1.221863e+00,1.175354e+00,-4.650858e-02,-3.806366e-02
41,0.100000,0.132258,1.224734e+00,1.177677e+00,-4.705689e-02,-3.842213e-02
42,0.100000,0.135484,1.227593e+00,1.179927e+00,-4.766591e-02,-3.882876e-02
43,0.100000,0.138710,1.230439e+00,1.182078e+00,-4.836115e-02,-3.930398e-02
44,0.100000,0.141935,1.233271e+00,1.184118e+00,-4.915296e-02,-3.985577e-02
45,0.100000,0.145161,1.236089e+00,1.186041e+00,-5.004803e-02,-4.048902e-02
46,0.100000,0.148387,1.238894e+00,1.187840e+00,-5.105407e-02,-4.120939e-02
47,0.100000,0.151613,1.241684e+00,1.189547e+00,-5.213664e-02,-4.198865e-02
48,0.100000,0.154839,1.244460e+00,1.191166e+00,-5.329433e-02,-4.282527e-02
49,0.100000,0.158064,1.247221e+00,1.192700e+00,-5.452062e-02,-4.371368e-02
50,0.100000,0.161290,1.249967e+00,1.194175e+00,-5.579168e-02,-4.463452e-02
51,0.100000,0.164516,1.252697e+00,1.195599e+00,-5.709778e-02,-4.557988e-02
52,0.100000,0.167742,1.255412e+00,1.197005e+00,-5.840652e-02,-4.652379e-02
53,0.100000,0.170968,1.258110e+00,1.198402e+00,-5.970803e-02,-4.745851e-02
54,0.100000,0.174194,1.260793e+00,1.199803e+00,-6.098972e-02,-4.837409e-02
55,0.100000,0.177419,1.263459e+00,1.201202e+00,-6.225716e-02,-4.927517e-02
56,0.100000,0.180645,1.266108e+00,1.202577e+00,-6.353050e-02,-5.017779e-02
57,0.100000,0.183871,1.268740e+00,1.203882e+00,-6.485795e-02,-5.111997e-02
