Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-7.500000e+00,-1.000000e+01,3.234603e+00,3.234603e+00,-4.440892e-16,1.372933e-16
1,-7.500000e+00,-9.642857e+00,3.230019e+00,3.224955e+00,-5.064194e-03,1.567853e-03
2,-7.500000e+00,-9.285714e+00,3.224754e+00,3.214298e+00,-1.045587e-02,3.242378e-03
3,-7.500000e+00,-8.928571e+00,3.218862e+00,3.203739e+00,-1.512266e-02,4.698139e-03
4,-7.500000e+00,-8.571429e+00,3.212404e+00,3.189969e+00,-2.243483e-02,6.983815e-03
5,-7.500000e+00,-8.214286e+00,3.205441e+00,3.182168e+00,-2.327370e-02,7.260686e-03
6,-7.500000e+00,-7.857143e+00,3.198039e+00,3.170024e+00,-2.801471e-02,8.759965e-03
7,-7.500000e+00,-7.500000e+00,3.190262e+00,3.159661e+00,-3.060109e-02,9.592031e-03
8,-7.500000e+00,-7.142857e+00,3.182179e+00,3.147497e+00,-3.468194e-02,1.089880e-02
9,-7.500000e+00,-6.785714e+00,3.173855e+00,3.134731e+00,-3.912449e-02,1.232712e-02
10,-7.500000e+00,-6.428571e+00,3.165359e+00,3.120688e+00,-4.467116e-02,1.411251e-02
11,-7.500000e+00,-6.071429e+00,3.156755e+00,3.109222e+00,-4.753301e-02,1.505755e-02
12,-7.500000e+00,-5.714286e+00,3.148108e+00,3.099312e+00,-4.879676e-02,1.550034e-02
13,-7.500000e+00,-5.357143e+00,3.139480e+00,3.087477e+00,-5.200371e-02,1.656443e-02
14,-7.500000e+00,-5.000000e+00,3.130931e+00,3.079524e+00,-5.140682e-02,1.641902e-02
15,-7.500000e+00,-4.642857e+00,3.122516e+00,3.063468e+00,-5.904751e-02,1.891023e-02
16,-7.500000e+00,-4.285714e+00,3.114288e+00,3.052410e+00,-6.187842e-02,1.986920e-02
17,-7.500000e+00,-3.928571e+00,3.106298e+00,3.041303e+00,-6.499493e-02,2.092360e-02
18,-7.500000e+00,-3.571429e+00,3.098590e+00,3.033337e+00,-6.525225e-02,2.105869e-02
19,-7.500000e+00,-3.214286e+00,3.091205e+00,3.022473e+00,-6.873198e-02,2.223469e-02
20,-7.500000e+00,-2.857143e+00,3.084180e+00,3.016420e+00,-6.775994e-02,2.197017e-02
21,-7.500000e+00,-2.500000e+00,3.077547e+00,3.010900e+00,-6.664660e-02,2.165576e-02
22,-7.500000e+00,-2.142857e+00,3.071333e+00,3.001090e+00,-7.024270e-02,2.287043e-02
23,-7.500000e+00,-1.785714e+00,3.065561e+00,2.992119e+00,-7.344170e-02,2.395702e-02
24,-7.500000e+00,-1.428571e+00,3.060248e+00,2.985765e+00,-7.448338e-02,2.433900e-02
25,-7.500000e+00,-1.071429e+00,3.055406e+00,2.981884e+00,-7.352173e-02,2.406284e-02
26,-7.500000e+00,-7.142857e-01,3.051041e+00,2.975165e+00,-7.587660e-02,2.486908e-02
27,-7.500000e+00,-3.571429e-01,3.047155e+00,2.972843e+00,-7.431258e-02,2.438753e-02
28,-7.500000e+00,0.000000e+00,3.043744e+00,2.974212e+00,-6.953155e-02,2.284408e-02
29,-7.500000e+00,3.571429e-01,3.040798e+00,2.967143e+00,-7.365481e-02,2.422220e-02
30,-7.500000e+00,7.142857e-01,3.038302e+00,2.965762e+00,-7.254012e-02,2.387521e-02
31,-7.500000e+00,1.071429e+00,3.036238e+00,2.964698e+00,-7.154057e-02,2.356224e-02
32,-7.500000e+00,1.428571e+00,3.034582e+00,2.960427e+00,-7.415427e-02,2.443641e-02
33,-7.500000e+00,1.785714e+00,3.033305e+00,2.960160e+00,-7.314482e-02,2.411390e-02
34,-7.500000e+00,2.142857e+00,3.032376e+00,2.962241e+00,-7.013464e-02,2.312861e-02
35,-7.500000e+00,2.500000e+00,3.031759e+00,2.966141e+00,-6.561896e-02,2.164385e-02
36,-7.500000e+00,2.857143e+00,3.031419e+00,2.963658e+00,-6.776037e-02,2.235269e-02
37,-7.500000e+00,3.214286e+00,3.031314e+00,2.960922e+00,-7.039160e-02,2.322148e-02
38,-7.500000e+00,3.571429e+00,3.031404e+00,2.961281e+00,-7.012325e-02,2.313227e-02
39,-7.500000e+00,3.928571e+00,3.031646e+00,2.966492e+00,-6.515404e-02,2.149131e-02
40,-7.500000e+00,4.285714e+00,3.031999e+00,2.969269e+00,-6.273015e-02,2.068937e-02
41,-7.500000e+00,4.642857e+00,3.032419e+00,2.972405e+00,-6.001377e-02,1.979073e-02
42,-7.500000e+00,5.000000e+00,3.032864e+00,2.979468e+00,-5.339561e-02,1.760567e-02
43,-7.500000e+00,5.357143e+00,3.033293e+00,2.978873e+00,-5.442052e-02,1.794107e-02
44,-7.500000e+00,5.714286e+00,3.033667e+00,2.980283e+00,-5.338380e-02,1.759712e-02
45,-7.500000e+00,6.071429e+00,3.033947e+00,2.985925e+00,-4.802256e-02,1.582841e-02
46,-7.500000e+00,6.428571e+00,3.034098e+00,2.988923e+00,-4.517446e-02,1.488893e-02
47,-7.500000e+00,6.785714e+00,3.034084e+00,2.993133e+00,-4.095080e-02,1.349692e-02
48,-7.500000e+00,7.142857e+00,3.033876e+00,2.996930e+00,-3.694573e-02,1.217773e-02
49,-7.500000e+00,7.500000e+00,3.033443e+00,3.002631e+00,-3.081231e-02,1.015754e-02
50,-7.500000e+00,7.857143e+00,3.032761e+00,3.002532e+00,-3.022879e-02,9.967416e-03
51,-7.500000e+00,8.214286e+00,3.031806e+00,3.009098e+00,-2.270763e-02,7.489802e-03
52,-7.500000e+00,8.571429e+00,3.030560e+00,3.012677e+00,-1.788280e-02,5.900825e-03
53,-7.500000e+00,8.928571e+00,3.029006e+00,3.015203e+00,-1.380222e-02,4.556684e-03
54,-7.500000e+00,9.285714e+00,3.027131e+00,3.017955e+00,-9.175798e-03,3.031186e-03
55,-7.500000e+00,9.642857e+00,3.024928e+00,3.020594e+00,-4.333666e-03,1.432651e-03
56,-7.500000e+00,1.000000e+01,3.022391e+00,3.022391e+00,-1.332268e-15,4.407993e-16
57,-5.000000e+00,-1.000000e+01,3.298227e+00,3.298227e+00,-8.881784e-16,2.692896e-16
58,-5.000000e+00,-9.642857e+00,3.295228e+00,3.285138e+00,-1.009035e-02,3.062109e-03
59,-5.000000e+00,-9.285714e+00,3.291329e+00,3.271943e+00,-1.938615e-02,5.890066e-03
60,-5.000000e+00,-8.928571e+00,3.286572e+00,3.259633e+00,-2.693948e-02,8.196833e-03
61,-5.000000e+00,-8.571429e+00,3.281003e+00,3.243338e+00,-3.766456e-02,1.147959e-02
62,-5.000000e+00,-8.214286e+00,3.274673e+00,3.230687e+00,-4.398536e-02,1.343199e-02
63,-5.000000e+00,-7.857143e+00,3.267636e+00,3.214862e+00,-5.277426e-02,1.615059e-02
64,-5.000000e+00,-7.500000e+00,3.259955e+00,3.203742e+00,-5.621305e-02,1.724351e-02
65,-5.000000e+00,-7.142857e+00,3.251692e+00,3.184230e+00,-6.746168e-02,2.074664e-02
66,-5.000000e+00,-6.785714e+00,3.242915e+00,3.170282e+00,-7.263353e-02,2.239760e-02
67,-5.000000e+00,-6.428571e+00,3.233697e+00,3.151727e+00,-8.196985e-02,2.534865e-02
68,-5.000000e+00,-6.071429e+00,3.224110e+00,3.135085e+00,-8.902502e-02,2.761228e-02
69,-5.000000e+00,-5.714286e+00,3.214232e+00,3.122286e+00,-9.194623e-02,2.860597e-02
70,-5.000000e+00,-5.357143e+00,3.204141e+00,3.107273e+00,-9.686753e-02,3.023198e-02
71,-5.000000e+00,-5.000000e+00,3.193915e+00,3.095490e+00,-9.842430e-02,3.081620e-02
72,-5.000000e+00,-4.642857e+00,3.183633e+00,3.075360e+00,-1.082728e-01,3.400920e-02
73,-5.000000e+00,-4.285714e+00,3.173374e+00,3.060868e+00,-1.125065e-01,3.545326e-02
74,-5.000000e+00,-3.928571e+00,3.163215e+00,3.042745e+00,-1.204700e-01,3.808467e-02
75,-5.000000e+00,-3.571429e+00,3.153230e+00,3.031511e+00,-1.217195e-01,3.860154e-02
76,-5.000000e+00,-3.214286e+00,3.143491e+00,3.020062e+00,-1.234289e-01,3.926492e-02
77,-5.000000e+00,-2.857143e+00,3.134065e+00,3.006950e+00,-1.271148e-01,4.055907e-02
78,-5.000000e+00,-2.500000e+00,3.125014e+00,3.000508e+00,-1.245068e-01,3.984198e-02
79,-5.000000e+00,-2.142857e+00,3.116397e+00,2.984583e+00,-1.318138e-01,4.229686e-02
80,-5.000000e+00,-1.785714e+00,3.108263e+00,2.974747e+00,-1.335154e-01,4.295500e-02
81,-5.000000e+00,-1.428571e+00,3.100656e+00,2.965091e+00,-1.355645e-01,4.372124e-02
82,-5.000000e+00,-1.071429e+00,3.093612e+00,2.955665e+00,-1.379472e-01,4.459098e-02
83,-5.000000e+00,-7.142857e-01,3.087160e+00,2.948937e+00,-1.382225e-01,4.477334e-02
84,-5.000000e+00,-3.571429e-01,3.081318e+00,2.940760e+00,-1.405584e-01,4.561633e-02
85,-5.000000e+00,0.000000e+00,3.076099e+00,2.941905e+00,-1.341940e-01,4.362474e-02
86,-5.000000e+00,3.571429e-01,3.071503e+00,2.933428e+00,-1.380754e-01,4.495368e-02
87,-5.000000e+00,7.142857e-01,3.067526e+00,2.933670e+00,-1.338564e-01,4.363660e-02
88,-5.000000e+00,1.071429e+00,3.064153e+00,2.922487e+00,-1.416665e-01,4.623348e-02
89,-5.000000e+00,1.428571e+00,3.061363e+00,2.925796e+00,-1.355668e-01,4.428315e-02
90,-5.000000e+00,1.785714e+00,3.059126e+00,2.925734e+00,-1.333919e-01,4.360458e-02
91,-5.000000e+00,2.142857e+00,3.057409e+00,2.924666e+00,-1.327432e-01,4.341689e-02
92,-5.000000e+00,2.500000e+00,3.056173e+00,2.931730e+00,-1.244424e-01,4.071838e-02
93,-5.000000e+00,2.857143e+00,3.055372e+00,2.927921e+00,-1.274506e-01,4.171363e-02
94,-5.000000e+00,3.214286e+00,3.054959e+00,2.929590e+00,-1.253699e-01,4.103815e-02
95,-5.000000e+00,3.571429e+00,3.054886e+00,2.934229e+00,-1.206572e-01,3.949645e-02
