Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-4.500000e+00,-1.350000e+01,3.284607e+00,3.284607e+00,-8.881784e-16,2.704063e-16
1,-4.500000e+00,-1.250000e+01,3.303286e+00,3.304537e+00,1.251279e-03,3.787984e-04
2,-4.500000e+00,-1.150000e+01,3.313527e+00,3.312250e+00,-1.276919e-03,3.853656e-04
3,-4.500000e+00,-1.050000e+01,3.315504e+00,3.312485e+00,-3.019185e-03,9.106261e-04
4,-4.500000e+00,-9.500000e+00,3.309630e+00,3.304522e+00,-5.107710e-03,1.543287e-03
5,-4.500000e+00,-8.500000e+00,3.296586e+00,3.284616e+00,-1.197055e-02,3.631194e-03
6,-4.500000e+00,-7.500000e+00,3.277345e+00,3.275020e+00,-2.325412e-03,7.095415e-04
7,-4.500000e+00,-6.500000e+00,3.253169e+00,3.249823e+00,-3.345832e-03,1.028484e-03
8,-4.500000e+00,-5.500000e+00,3.225577e+00,3.220168e+00,-5.408973e-03,1.676901e-03
9,-4.500000e+00,-4.500000e+00,3.196270e+00,3.188778e+00,-7.492648e-03,2.344185e-03
10,-4.500000e+00,-3.500000e+00,3.167024e+00,3.165217e+00,-1.806660e-03,5.704597e-04
11,-4.500000e+00,-2.500000e+00,3.139544e+00,3.133324e+00,-6.219481e-03,1.981014e-03
12,-4.500000e+00,-1.500000e+00,3.115309e+00,3.110416e+00,-4.892917e-03,1.570604e-03
13,-4.500000e+00,-5.000000e-01,3.095416e+00,3.087177e+00,-8.239306e-03,2.661777e-03
14,-4.500000e+00,5.000000e-01,3.080459e+00,3.072748e+00,-7.711574e-03,2.503384e-03
15,-4.500000e+00,1.500000e+00,3.070480e+00,3.059030e+00,-1.144973e-02,3.728969e-03
16,-4.500000e+00,2.500000e+00,3.065006e+00,3.053753e+00,-1.125321e-02,3.671514e-03
17,-4.500000e+00,3.500000e+00,3.063175e+00,3.056078e+00,-7.097103e-03,2.316911e-03
18,-4.500000e+00,4.500000e+00,3.063899e+00,3.060124e+00,-3.774597e-03,1.231959e-03
19,-4.500000e+00,5.500000e+00,3.066019e+00,3.055983e+00,-1.003563e-02,3.273181e-03
20,-4.500000e+00,6.500000e+00,3.068439e+00,3.063090e+00,-5.349583e-03,1.743422e-03
21,-4.500000e+00,7.500000e+00,3.070207e+00,3.062701e+00,-7.506131e-03,2.444829e-03
22,-4.500000e+00,8.500000e+00,3.070573e+00,3.067640e+00,-2.933749e-03,9.554401e-04
23,-4.500000e+00,9.500000e+00,3.069022e+00,3.058900e+00,-1.012126e-02,3.297878e-03
24,-4.500000e+00,1.050000e+01,3.065294e+00,3.057034e+00,-8.259785e-03,2.694614e-03
25,-4.500000e+00,1.150000e+01,3.059406e+00,3.056814e+00,-2.591967e-03,8.472126e-04
26,-4.500000e+00,1.250000e+01,3.051660e+00,3.050206e+00,-1.453572e-03,4.763217e-04
27,-4.500000e+00,1.350000e+01,3.042645e+00,3.042645e+00,-4.440892e-16,1.459550e-16
28,4.500000e+00,-1.350000e+01,3.495145e+00,3.495145e+00,0.000000e+00,0.000000e+00
29,4.500000e+00,-1.250000e+01,3.529761e+00,3.527836e+00,-1.924830e-03,5.453145e-04
30,4.500000e+00,-1.150000e+01,3.556404e+00,3.556522e+00,1.185577e-04,3.333639e-05
31,4.500000e+00,-1.050000e+01,3.575655e+00,3.574985e+00,-6.701000e-04,1.874062e-04
32,4.500000e+00,-9.500000e+00,3.588105e+00,3.582701e+00,-5.404528e-03,1.506235e-03
33,4.500000e+00,-8.500000e+00,3.594371e+00,3.590620e+00,-3.750460e-03,1.043426e-03
34,4.500000e+00,-7.500000e+00,3.595113e+00,3.594378e+00,-7.353420e-04,2.045393e-04
35,4.500000e+00,-6.500000e+00,3.591055e+00,3.589888e+00,-1.167637e-03,3.251516e-04
36,4.500000e+00,-5.500000e+00,3.582991e+00,3.577380e+00,-5.611150e-03,1.566052e-03
37,4.500000e+00,-4.500000e+00,3.571777e+00,3.567208e+00,-4.568991e-03,1.279193e-03
38,4.500000e+00,-3.500000e+00,3.558313e+00,3.552116e+00,-6.196339e-03,1.741370e-03
39,4.500000e+00,-2.500000e+00,3.543484e+00,3.536887e+00,-6.596852e-03,1.861685e-03
40,4.500000e+00,-1.500000e+00,3.528089e+00,3.520027e+00,-8.061782e-03,2.285028e-03
41,4.500000e+00,-5.000000e-01,3.512741e+00,3.508484e+00,-4.256499e-03,1.211732e-03
42,4.500000e+00,5.000000e-01,3.497784e+00,3.487138e+00,-1.064685e-02,3.043884e-03
43,4.500000e+00,1.500000e+00,3.483260e+00,3.475197e+00,-8.063066e-03,2.314804e-03
44,4.500000e+00,2.500000e+00,3.468946e+00,3.463456e+00,-5.490674e-03,1.582808e-03
45,4.500000e+00,3.500000e+00,3.454464e+00,3.446968e+00,-7.496364e-03,2.170051e-03
46,4.500000e+00,4.500000e+00,3.439405e+00,3.434586e+00,-4.819131e-03,1.401152e-03
47,4.500000e+00,5.500000e+00,3.423433e+00,3.417655e+00,-5.777408e-03,1.687607e-03
48,4.500000e+00,6.500000e+00,3.406325e+00,3.399622e+00,-6.703699e-03,1.968015e-03
49,4.500000e+00,7.500000e+00,3.387975e+00,3.384100e+00,-3.875140e-03,1.143792e-03
50,4.500000e+00,8.500000e+00,3.368358e+00,3.359613e+00,-8.745147e-03,2.596264e-03
51,4.500000e+00,9.500000e+00,3.347497e+00,3.343924e+00,-3.572459e-03,1.067203e-03
52,4.500000e+00,1.050000e+01,3.325445e+00,3.322377e+00,-3.067221e-03,9.223492e-04
53,4.500000e+00,1.150000e+01,3.302283e+00,3.300168e+00,-2.115035e-03,6.404766e-04
54,4.500000e+00,1.250000e+01,3.278135e+00,3.277158e+00,-9.773133e-04,2.981309e-04
55,4.500000e+00,1.350000e+01,3.253183e+00,3.253183e+00,-4.440892e-16,1.365091e-16
56,-1.350000e+01,-4.500000e+00,3.058318e+00,3.058318e+00,-4.440892e-16,1.452070e-16
57,-1.250000e+01,-4.500000e+00,3.065898e+00,3.065135e+00,-7.632103e-04,2.489353e-04
58,-1.150000e+01,-4.500000e+00,3.073618e+00,3.072254e+00,-1.363699e-03,4.436790e-04
59,-1.050000e+01,-4.500000e+00,3.082012e+00,3.081767e+00,-2.444972e-04,7.933040e-05
60,-9.500000e+00,-4.500000e+00,3.091789e+00,3.086053e+00,-5.735079e-03,1.854939e-03
61,-8.500000e+00,-4.500000e+00,3.103835e+00,3.101483e+00,-2.351972e-03,7.577634e-04
62,-7.500000e+00,-4.500000e+00,3.119200e+00,3.116927e+00,-2.272743e-03,7.286301e-04
63,-6.500000e+00,-4.500000e+00,3.139032e+00,3.134911e+00,-4.120879e-03,1.312787e-03
64,-5.500000e+00,-4.500000e+00,3.164444e+00,3.158917e+00,-5.526571e-03,1.746459e-03
65,-3.500000e+00,-4.500000e+00,3.234747e+00,3.227222e+00,-7.524916e-03,2.326276e-03
66,-2.500000e+00,-4.500000e+00,3.279187e+00,3.270363e+00,-8.824714e-03,2.691128e-03
67,-1.500000e+00,-4.500000e+00,3.327834e+00,3.318294e+00,-9.539849e-03,2.866684e-03
68,-5.000000e-01,-4.500000e+00,3.378056e+00,3.373986e+00,-4.069956e-03,1.204822e-03
69,5.000000e-01,-4.500000e+00,3.426915e+00,3.425179e+00,-1.735651e-03,5.064761e-04
70,1.500000e+00,-4.500000e+00,3.471869e+00,3.462419e+00,-9.449950e-03,2.721863e-03
71,2.500000e+00,-4.500000e+00,3.511278e+00,3.507422e+00,-3.856311e-03,1.098264e-03
72,3.500000e+00,-4.500000e+00,3.544521e+00,3.534614e+00,-9.907013e-03,2.795022e-03
73,5.500000e+00,-4.500000e+00,3.593672e+00,3.588187e+00,-5.485751e-03,1.526503e-03
74,6.500000e+00,-4.500000e+00,3.610968e+00,3.606505e+00,-4.462667e-03,1.235864e-03
75,7.500000e+00,-4.500000e+00,3.624365e+00,3.616157e+00,-8.207361e-03,2.264496e-03
76,8.500000e+00,-4.500000e+00,3.634413e+00,3.630254e+00,-4.159123e-03,1.144373e-03
77,9.500000e+00,-4.500000e+00,3.641497e+00,3.637696e+00,-3.801962e-03,1.044066e-03
78,1.050000e+01,-4.500000e+00,3.645861e+00,3.645267e+00,-5.937824e-04,1.628648e-04
79,1.150000e+01,-4.500000e+00,3.647635e+00,3.645653e+00,-1.982561e-03,5.435197e-04
80,1.250000e+01,-4.500000e+00,3.646876e+00,3.645668e+00,-1.208099e-03,3.312694e-04
81,1.350000e+01,-4.500000e+00,3.643592e+00,3.643592e+00,-8.881784e-16,2.437645e-16
82,-1.350000e+01,4.500000e+00,3.005512e+00,3.005512e+00,-8.881784e-16,2.955165e-16
83,-1.250000e+01,4.500000e+00,3.011461e+00,3.011703e+00,2.428347e-04,8.063685e-05
84,-1.150000e+01,4.500000e+00,3.016196e+00,3.013779e+00,-2.417590e-03,8.015359e-04
85,-1.050000e+01,4.500000e+00,3.020085e+00,3.018294e+00,-1.791665e-03,5.932499e-04
86,-9.500000e+00,4.500000e+00,3.023611e+00,3.022185e+00,-1.425814e-03,4.715599e-04
87,-8.500000e+00,4.500000e+00,3.027400e+00,3.020325e+00,-7.074787e-03,2.336919e-03
88,-7.500000e+00,4.500000e+00,3.032245e+00,3.030443e+00,-1.802318e-03,5.943840e-04
89,-6.500000e+00,4.500000e+00,3.039132e+00,3.034064e+00,-5.068406e-03,1.667715e-03
90,-5.500000e+00,4.500000e+00,3.049239e+00,3.043388e+00,-5.851302e-03,1.918939e-03
91,-3.500000e+00,4.500000e+00,3.084483e+00,3.077319e+00,-7.163898e-03,2.322560e-03
92,-2.500000e+00,4.500000e+00,3.112172e+00,3.104676e+00,-7.495772e-03,2.408534e-03
93,-1.500000e+00,4.500000e+00,3.147601e+00,3.142662e+00,-4.938665e-03,1.569025e-03
94,-5.000000e-01,4.500000e+00,3.190479e+00,3.180099e+00,-1.038008e-02,3.253456e-03
95,5.000000e-01,4.500000e+00,3.239338e+00,3.229700e+00,-9.638312e-03,2.975395e-03
