Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-1.350000e+01,-2.250000e+01,3.010256e+00,3.010256e+00,0.000000e+00,0.000000e+00
1,-1.350000e+01,-2.150000e+01,3.048600e+00,3.048895e+00,2.948230e-04,9.670765e-05
2,-1.350000e+01,-2.050000e+01,3.084930e+00,3.082313e+00,-2.617370e-03,8.484374e-04
3,-1.350000e+01,-1.950000e+01,3.118349e+00,3.113240e+00,-5.109418e-03,1.638501e-03
4,-1.350000e+01,-1.850000e+01,3.147912e+00,3.140151e+00,-7.761170e-03,2.465498e-03
5,-1.350000e+01,-1.750000e+01,3.172658e+00,3.157886e+00,-1.477124e-02,4.655795e-03
6,-1.350000e+01,-1.650000e+01,3.191674e+00,3.184858e+00,-6.815839e-03,2.135506e-03
7,-1.350000e+01,-1.550000e+01,3.204185e+00,3.195630e+00,-8.554290e-03,2.669724e-03
8,-1.350000e+01,-1.450000e+01,3.209678e+00,3.198073e+00,-1.160459e-02,3.615501e-03
9,-1.350000e+01,-1.350000e+01,3.208047e+00,3.193457e+00,-1.459066e-02,4.548142e-03
10,-1.350000e+01,-1.250000e+01,3.199722e+00,3.188150e+00,-1.157258e-02,3.616745e-03
11,-1.350000e+01,-1.150000e+01,3.185718e+00,3.166176e+00,-1.954188e-02,6.134215e-03
12,-1.350000e+01,-1.050000e+01,3.167559e+00,3.153517e+00,-1.404157e-02,4.432931e-03
13,-1.350000e+01,-9.500000e+00,3.147056e+00,3.130847e+00,-1.620830e-02,5.150307e-03
14,-1.350000e+01,-8.500000e+00,3.125993e+00,3.107689e+00,-1.830396e-02,5.855407e-03
15,-1.350000e+01,-7.500000e+00,3.105839e+00,3.083953e+00,-2.188590e-02,7.046694e-03
16,-1.350000e+01,-6.500000e+00,3.087580e+00,3.070270e+00,-1.730982e-02,5.606274e-03
17,-1.350000e+01,-5.500000e+00,3.071706e+00,3.051633e+00,-2.007253e-02,6.534652e-03
18,-1.350000e+01,-4.500000e+00,3.058318e+00,3.042907e+00,-1.541136e-02,5.039162e-03
19,-1.350000e+01,-3.500000e+00,3.047273e+00,3.027147e+00,-2.012547e-02,6.604419e-03
20,-1.350000e+01,-2.500000e+00,3.038307e+00,3.019369e+00,-1.893717e-02,6.232803e-03
21,-1.350000e+01,-1.500000e+00,3.031112e+00,3.009929e+00,-2.118338e-02,6.988647e-03
22,-1.350000e+01,-5.000000e-01,3.025369e+00,3.002412e+00,-2.295773e-02,7.588406e-03
23,-1.350000e+01,5.000000e-01,3.020741e+00,3.002303e+00,-1.843837e-02,6.103923e-03
24,-1.350000e+01,1.500000e+00,3.016864e+00,3.004714e+00,-1.215002e-02,4.027368e-03
25,-1.350000e+01,2.500000e+00,3.013333e+00,2.999472e+00,-1.386053e-02,4.599733e-03
26,-1.350000e+01,3.500000e+00,3.009706e+00,2.993405e+00,-1.630100e-02,5.416145e-03
27,-1.350000e+01,4.500000e+00,3.005512e+00,2.994456e+00,-1.105655e-02,3.678757e-03
28,-1.350000e+01,5.500000e+00,3.000273e+00,2.987078e+00,-1.319497e-02,4.397921e-03
29,-1.350000e+01,6.500000e+00,2.993531e+00,2.974856e+00,-1.867487e-02,6.238408e-03
30,-1.350000e+01,7.500000e+00,2.984876e+00,2.969120e+00,-1.575559e-02,5.278474e-03
