Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,-1.350000e+01,-2.250000e+01,3.010256e+00,3.010256e+00,0.000000e+00,0.000000e+00
1,-1.350000e+01,-2.150000e+01,3.048600e+00,3.048753e+00,1.524827e-04,5.001729e-05
2,-1.350000e+01,-2.050000e+01,3.084930e+00,3.082114e+00,-2.816056e-03,9.128427e-04
3,-1.350000e+01,-1.950000e+01,3.118349e+00,3.112897e+00,-5.452694e-03,1.748583e-03
4,-1.350000e+01,-1.850000e+01,3.147912e+00,3.139737e+00,-8.174662e-03,2.596852e-03
5,-1.350000e+01,-1.750000e+01,3.172658e+00,3.157381e+00,-1.527717e-02,4.815258e-03
6,-1.350000e+01,-1.650000e+01,3.191674e+00,3.184354e+00,-7.319900e-03,2.293436e-03
7,-1.350000e+01,-1.550000e+01,3.204185e+00,3.194980e+00,-9.204330e-03,2.872596e-03
8,-1.350000e+01,-1.450000e+01,3.209678e+00,3.197430e+00,-1.224773e-02,3.815874e-03
9,-1.350000e+01,-1.350000e+01,3.208047e+00,3.192786e+00,-1.526097e-02,4.757090e-03
10,-1.350000e+01,-1.250000e+01,3.199722e+00,3.187420e+00,-1.230240e-02,3.844835e-03
11,-1.350000e+01,-1.150000e+01,3.185718e+00,3.165410e+00,-2.030784e-02,6.374651e-03
12,-1.350000e+01,-1.050000e+01,3.167559e+00,3.152726e+00,-1.483343e-02,4.682923e-03
13,-1.350000e+01,-9.500000e+00,3.147056e+00,3.129974e+00,-1.708210e-02,5.427963e-03
14,-1.350000e+01,-8.500000e+00,3.125993e+00,3.106829e+00,-1.916370e-02,6.130435e-03
15,-1.350000e+01,-7.500000e+00,3.105839e+00,3.082988e+00,-2.285106e-02,7.357452e-03
16,-1.350000e+01,-6.500000e+00,3.087580e+00,3.069204e+00,-1.837616e-02,5.951639e-03
17,-1.350000e+01,-5.500000e+00,3.071706e+00,3.050378e+00,-2.132823e-02,6.943449e-03
18,-1.350000e+01,-4.500000e+00,3.058318e+00,3.040805e+00,-1.751309e-02,5.726379e-03
19,-1.350000e+01,-3.500000e+00,3.047273e+00,3.028745e+00,-1.852728e-02,6.079953e-03
20,-1.350000e+01,-2.500000e+00,3.038307e+00,3.017079e+00,-2.122787e-02,6.986742e-03
21,-1.350000e+01,-1.500000e+00,3.031112e+00,3.013783e+00,-1.732992e-02,5.717346e-03
22,-1.350000e+01,-5.000000e-01,3.025369e+00,3.005527e+00,-1.984249e-02,6.558700e-03
23,-1.350000e+01,5.000000e-01,3.020741e+00,3.002450e+00,-1.829122e-02,6.055210e-03
24,-1.350000e+01,1.500000e+00,3.016864e+00,2.999558e+00,-1.730521e-02,5.736159e-03
25,-1.350000e+01,2.500000e+00,3.013333e+00,2.991067e+00,-2.226597e-02,7.389152e-03
26,-1.350000e+01,3.500000e+00,3.009706e+00,2.991887e+00,-1.781947e-02,5.920669e-03
27,-1.350000e+01,4.500000e+00,3.005512e+00,2.986512e+00,-1.900053e-02,6.321895e-03
28,-1.350000e+01,5.500000e+00,3.000273e+00,2.982668e+00,-1.760534e-02,5.867912e-03
29,-1.350000e+01,6.500000e+00,2.993531e+00,2.971441e+00,-2.209008e-02,7.379272e-03
30,-1.350000e+01,7.500000e+00,2.984876e+00,2.966628e+00,-1.824787e-02,6.113444e-03
31,-1.350000e+01,8.500000e+00,2.973975e+00,2.959271e+00,-1.470431e-02,4.944328e-03
32,-1.350000e+01,9.500000e+00,2.960599e+00,2.941942e+00,-1.865614e-02,6.301477e-03
33,-1.350000e+01,1.050000e+01,2.944647e+00,2.932128e+00,-1.251895e-02,4.251426e-03
34,-1.350000e+01,1.150000e+01,2.926173e+00,2.913319e+00,-1.285325e-02,4.392512e-03
35,-1.350000e+01,1.250000e+01,2.905409e+00,2.894510e+00,-1.089903e-02,3.751289e-03
36,-1.350000e+01,1.350000e+01,2.882794e+00,2.873349e+00,-9.445482e-03,3.276502e-03
37,-1.350000e+01,1.450000e+01,2.859005e+00,2.849705e+00,-9.299805e-03,3.252812e-03
38,-1.350000e+01,1.550000e+01,2.834978e+00,2.826886e+00,-8.091881e-03,2.854301e-03
39,-1.350000e+01,1.650000e+01,2.811926e+00,2.806328e+00,-5.598288e-03,1.990909e-03
40,-1.350000e+01,1.750000e+01,2.791317e+00,2.780730e+00,-1.058637e-02,3.792606e-03
41,-1.350000e+01,1.850000e+01,2.774781e+00,2.769830e+00,-4.951355e-03,1.784413e-03
42,-1.350000e+01,1.950000e+01,2.763915e+00,2.762645e+00,-1.269780e-03,4.594137e-04
43,-1.350000e+01,2.050000e+01,2.759954e+00,2.757402e+00,-2.551800e-03,9.245807e-04
44,-1.350000e+01,2.150000e+01,2.763372e+00,2.762562e+00,-8.095445e-04,2.929553e-04
