B_i,B_j,B_ij
0,0,0.000000e+00
1,0,-1.358977e-02
2,0,-2.453465e-02
3,0,-3.355149e-02
4,0,-4.463450e-02
5,0,-5.044617e-02
6,0,-5.486543e-02
7,0,-5.891685e-02
8,0,-6.390124e-02
9,0,-6.610767e-02
10,0,-6.446022e-02
11,0,-6.812749e-02
12,0,-6.658846e-02
13,0,-6.784206e-02
14,0,-6.846701e-02
15,0,-6.828719e-02
16,0,-6.808695e-02
17,0,-6.840229e-02
18,0,-6.709995e-02
19,0,-6.752327e-02
20,0,-6.789159e-02
21,0,-6.867756e-02
22,0,-6.689517e-02
23,0,-6.672085e-02
24,0,-6.642369e-02
25,0,-6.249329e-02
26,0,-5.881951e-02
27,0,-5.645789e-02
28,0,-4.913062e-02
29,0,-3.504264e-02
30,0,-2.214647e-02
31,0,-5.998804e-01
32,0,-2.111177e-02
33,0,-3.699422e-02
34,0,-4.649971e-02
35,0,-5.762603e-02
36,0,-6.121428e-02
37,0,-6.322717e-02
38,0,-6.545972e-02
39,0,-6.773533e-02
40,0,-6.708849e-02
41,0,-6.533949e-02
42,0,-6.735323e-02
43,0,-6.640664e-02
44,0,-6.770911e-02
45,0,-6.793360e-02
46,0,-6.861041e-02
47,0,-6.765771e-02
48,0,-7.005557e-02
49,0,-6.741494e-02
50,0,-6.884241e-02
51,0,-6.864761e-02
52,0,-6.816094e-02
53,0,-6.362890e-02
54,0,-6.214186e-02
55,0,-5.940799e-02
56,0,-5.464960e-02
57,0,-4.818910e-02
58,0,-4.430327e-02
59,0,-3.557830e-02
60,0,-2.392496e-02
61,0,-1.463682e-02
62,0,0.000000e+00
63,0,0.000000e+00
64,0,-1.356281e-02
65,0,-2.493426e-02
66,0,-3.464071e-02
67,0,-4.254278e-02
68,0,-5.074642e-02
69,0,-5.601905e-02
70,0,-5.949295e-02
71,0,-6.478395e-02
72,0,-6.466583e-02
73,0,-6.632471e-02
74,0,-6.997205e-02
75,0,-6.662725e-02
76,0,-6.520235e-02
77,0,-6.994221e-02
78,0,-6.994608e-02
79,0,-7.008926e-02
80,0,-6.786221e-02
81,0,-6.735822e-02
82,0,-6.799338e-02
83,0,-6.700239e-02
84,0,-6.501439e-02
85,0,-6.818365e-02
86,0,-6.753319e-02
87,0,-6.594041e-02
88,0,-6.309136e-02
89,0,-6.134701e-02
90,0,-5.655084e-02
91,0,-4.601385e-02
92,0,-3.471095e-02
93,0,-2.069434e-02
94,0,-2.240979e-02
95,0,-3.688291e-02
96,0,-4.776597e-02
97,0,-5.544087e-02
98,0,-6.174122e-02
99,0,-6.395804e-02
100,0,-6.702430e-02
101,0,-6.806790e-02
102,0,-6.811067e-02
103,0,-6.636029e-02
104,0,-6.720388e-02
105,0,-6.521120e-02
106,0,-6.425153e-02
107,0,-6.987009e-02
108,0,-7.091572e-02
109,0,-7.094774e-02
110,0,-6.836283e-02
111,0,-6.792881e-02
112,0,-6.861431e-02
113,0,-6.792009e-02
114,0,-6.420657e-02
115,0,-6.489012e-02
116,0,-6.366278e-02
117,0,-5.944984e-02
118,0,-5.545288e-02
119,0,-4.989389e-02
120,0,-4.406745e-02
121,0,-3.317495e-02
122,0,-2.402140e-02
123,0,-1.255507e-02
124,0,0.000000e+00
