B_i,B_j,B_ij
0,0,0.000000e+00
1,0,1.065375e-02
2,0,2.069160e-02
3,0,2.891374e-02
4,0,3.489229e-02
5,0,3.802215e-02
6,0,3.655343e-02
7,0,3.087339e-02
8,0,1.803185e-02
9,0,1.668272e-01
10,0,3.472934e-02
11,0,6.076037e-02
12,0,7.738644e-02
13,0,8.747581e-02
14,0,8.977497e-02
15,0,8.099368e-02
16,0,6.374484e-02
17,0,3.819661e-02
18,0,2.356805e-01
19,0,3.576428e-02
20,0,6.297101e-02
21,0,7.947903e-02
22,0,9.020887e-02
23,0,9.024148e-02
24,0,7.897181e-02
25,0,5.932155e-02
26,0,3.373929e-02
27,0,1.685837e-01
28,0,1.870226e-02
29,0,3.055604e-02
30,0,3.679703e-02
31,0,3.764812e-02
32,0,3.478823e-02
33,0,2.839941e-02
34,0,2.055785e-02
35,0,9.964395e-03
36,0,0.000000e+00
37,0,0.000000e+00
38,0,1.495979e-02
39,0,2.932226e-02
40,0,4.132436e-02
41,0,4.956362e-02
42,0,5.374386e-02
43,0,5.214590e-02
44,0,4.383747e-02
45,0,2.542203e-02
46,0,2.368332e-01
47,0,4.971239e-02
48,0,8.559248e-02
49,0,1.101140e-01
50,0,1.273008e-01
51,0,1.260058e-01
52,0,1.183526e-01
53,0,9.359065e-02
54,0,5.224357e-02
55,0,3.509679e-01
56,0,5.472608e-02
57,0,9.320055e-02
58,0,1.182889e-01
59,0,1.292078e-01
60,0,1.267671e-01
61,0,1.124750e-01
62,0,8.739798e-02
63,0,4.569554e-02
64,0,2.424562e-01
65,0,2.737039e-02
66,0,4.279305e-02
67,0,5.214955e-02
68,0,5.301402e-02
69,0,4.892554e-02
70,0,4.102415e-02
71,0,2.921371e-02
72,0,1.532501e-02
73,0,0.000000e+00
74,0,0.000000e+00
75,0,1.044222e-02
76,0,2.065097e-02
77,0,2.933483e-02
78,0,3.494911e-02
79,0,3.767010e-02
80,0,3.684383e-02
81,0,3.078526e-02
82,0,1.769474e-02
83,0,1.648970e-01
84,0,3.440113e-02
85,0,5.985257e-02
86,0,7.657164e-02
87,0,8.847027e-02
88,0,8.785245e-02
89,0,8.234074e-02
90,0,6.506446e-02
91,0,3.613047e-02
92,0,2.441564e-01
93,0,3.780974e-02
94,0,6.474656e-02
95,0,8.191341e-02
96,0,9.009473e-02
97,0,8.818616e-02
98,0,7.858915e-02
99,0,6.088082e-02
100,0,3.186881e-02
101,0,1.688449e-01
102,0,1.919394e-02
103,0,3.002833e-02
104,0,3.679178e-02
105,0,3.741372e-02
106,0,3.449642e-02
107,0,2.879698e-02
108,0,2.066321e-02
109,0,1.084782e-02
110,0,0.000000e+00
111,0,0.000000e+00
112,0,1.090784e-02
113,0,2.040665e-02
114,0,2.879917e-02
115,0,3.469899e-02
116,0,3.759445e-02
117,0,3.636554e-02
118,0,3.037459e-02
119,0,1.816983e-02
120,0,3.329006e-02
121,0,6.104123e-02
122,0,7.768046e-02
123,0,8.957833e-02
124,0,8.954484e-02
125,0,8.102943e-02
126,0,6.378385e-02
127,0,3.852163e-02
128,0,3.785776e-02
129,0,6.388416e-02
130,0,8.264677e-02
131,0,8.861411e-02
132,0,8.738650e-02
133,0,7.858479e-02
134,0,6.038189e-02
135,0,3.470857e-02
136,0,1.873827e-02
137,0,3.017069e-02
138,0,3.666484e-02
139,0,3.730838e-02
140,0,3.442193e-02
141,0,2.873597e-02
142,0,2.051668e-02
143,0,1.085666e-02
144,0,0.000000e+00
145,0,0.000000e+00
146,0,1.519838e-02
147,0,2.949630e-02
148,0,4.116219e-02
149,0,4.848789e-02
150,0,5.336991e-02
151,0,5.130645e-02
152,0,4.243850e-02
153,0,2.631640e-02
154,0,5.014655e-02
155,0,8.688712e-02
156,0,1.141412e-01
157,0,1.254046e-01
158,0,1.309630e-01
159,0,1.181917e-01
160,0,9.329413e-02
161,0,5.452901e-02
162,0,5.389825e-02
163,0,9.287813e-02
164,0,1.188819e-01
165,0,1.292441e-01
166,0,1.263321e-01
167,0,1.122916e-01
168,0,8.405816e-02
169,0,4.875348e-02
170,0,2.625944e-02
171,0,4.329973e-02
172,0,5.222693e-02
173,0,5.366533e-02
174,0,4.899410e-02
175,0,4.065256e-02
176,0,2.794345e-02
177,0,1.502061e-02
178,0,0.000000e+00
179,0,0.000000e+00
180,0,1.063966e-02
181,0,2.046968e-02
182,0,2.899552e-02
183,0,3.504131e-02
184,0,3.750343e-02
185,0,3.657439e-02
186,0,2.999875e-02
187,0,1.839216e-02
188,0,3.344472e-02
189,0,6.101057e-02
190,0,7.958883e-02
191,0,8.697002e-02
192,0,8.777760e-02
193,0,8.120762e-02
194,0,6.388480e-02
195,0,3.740435e-02
196,0,3.796492e-02
197,0,6.527208e-02
198,0,8.077969e-02
199,0,8.881482e-02
200,0,8.820345e-02
201,0,7.873686e-02
202,0,6.174581e-02
203,0,3.351326e-02
204,0,1.874899e-02
205,0,3.066510e-02
206,0,3.617295e-02
207,0,3.728541e-02
208,0,3.486966e-02
209,0,2.898329e-02
210,0,2.102158e-02
211,0,1.033034e-02
212,0,0.000000e+00
