B_i,B_j,B_ij
0,0,0.000000e+00
1,0,-4.930228e-04
2,0,-7.685487e-04
3,0,-8.768648e-04
4,0,-9.435489e-04
5,0,-9.515381e-04
6,0,-8.734101e-04
7,0,-9.242886e-04
8,0,-5.834175e-04
9,0,-1.781793e-02
10,0,-3.147991e-03
11,0,-4.607778e-03
12,0,-4.847524e-03
13,0,-4.777720e-03
14,0,-5.273027e-03
15,0,-4.853912e-03
16,0,-4.313145e-03
17,0,-3.425622e-03
18,0,-3.062616e-02
19,0,-2.953523e-03
20,0,-4.557440e-03
21,0,-4.653173e-03
22,0,-5.214628e-03
23,0,-5.104326e-03
24,0,-5.604281e-03
25,0,-4.204072e-03
26,0,-3.237270e-03
27,0,-1.775059e-02
28,0,-6.788109e-04
29,0,-8.734336e-04
30,0,-9.257491e-04
31,0,-9.060684e-04
32,0,-9.744099e-04
33,0,-8.579985e-04
34,0,-7.522122e-04
35,0,-4.411446e-04
36,0,0.000000e+00
37,0,0.000000e+00
38,0,-9.052545e-04
39,0,-1.463567e-03
40,0,-1.677155e-03
41,0,-1.721670e-03
42,0,-1.682584e-03
43,0,-1.617346e-03
44,0,-1.707232e-03
45,0,-1.099358e-03
46,0,-3.188116e-02
47,0,-6.275330e-03
48,0,-8.320923e-03
49,0,-8.897659e-03
50,0,-9.516130e-03
51,0,-8.833946e-03
52,0,-9.675854e-03
53,0,-9.100120e-03
54,0,-6.293455e-03
55,0,-6.708031e-02
56,0,-6.902234e-03
57,0,-8.820014e-03
58,0,-9.757757e-03
59,0,-9.150687e-03
60,0,-9.751565e-03
61,0,-9.342343e-03
62,0,-8.808415e-03
63,0,-5.571034e-03
64,0,-3.519951e-02
65,0,-1.357950e-03
66,0,-1.657903e-03
67,0,-1.641454e-03
68,0,-1.652161e-03
69,0,-1.605640e-03
70,0,-1.747653e-03
71,0,-1.367676e-03
72,0,-9.490651e-04
73,0,0.000000e+00
74,0,0.000000e+00
75,0,-4.578360e-04
76,0,-7.950548e-04
77,0,-9.396644e-04
78,0,-9.650908e-04
79,0,-9.152185e-04
80,0,-9.056735e-04
81,0,-8.994503e-04
82,0,-5.701955e-04
83,0,-1.680818e-02
84,0,-3.205831e-03
85,0,-4.433924e-03
86,0,-4.787672e-03
87,0,-5.219728e-03
88,0,-4.970358e-03
89,0,-5.227564e-03
90,0,-4.895311e-03
91,0,-3.141725e-03
92,0,-3.612609e-02
93,0,-3.537841e-03
94,0,-4.640856e-03
95,0,-5.207792e-03
96,0,-5.060846e-03
97,0,-5.263123e-03
98,0,-5.114647e-03
99,0,-4.608766e-03
100,0,-2.894428e-03
101,0,-1.828255e-02
102,0,-7.024383e-04
103,0,-8.678449e-04
104,0,-9.084189e-04
105,0,-9.141159e-04
106,0,-8.663595e-04
107,0,-9.338163e-04
108,0,-7.314378e-04
109,0,-5.049062e-04
110,0,0.000000e+00
111,0,0.000000e+00
112,0,-4.796206e-04
113,0,-7.419255e-04
114,0,-9.125646e-04
115,0,-9.366596e-04
116,0,-9.133649e-04
117,0,-8.847498e-04
118,0,-8.718498e-04
119,0,-6.387608e-04
120,0,-3.039610e-03
121,0,-4.731835e-03
122,0,-5.064898e-03
123,0,-5.154166e-03
124,0,-4.978578e-03
125,0,-4.823315e-03
126,0,-4.341377e-03
127,0,-3.460647e-03
128,0,-3.472188e-03
129,0,-4.588156e-03
130,0,-5.110321e-03
131,0,-4.957753e-03
132,0,-4.988542e-03
133,0,-5.035980e-03
134,0,-4.374553e-03
135,0,-3.327613e-03
136,0,-6.854475e-04
137,0,-8.514766e-04
138,0,-9.206806e-04
139,0,-9.059640e-04
140,0,-8.955440e-04
141,0,-8.955831e-04
142,0,-7.504855e-04
143,0,-5.108184e-04
144,0,0.000000e+00
145,0,0.000000e+00
146,0,-9.112761e-04
147,0,-1.455071e-03
148,0,-1.650368e-03
149,0,-1.638658e-03
150,0,-1.748949e-03
151,0,-1.553563e-03
152,0,-1.557226e-03
153,0,-1.254305e-03
154,0,-6.505167e-03
155,0,-8.556070e-03
156,0,-1.003679e-02
157,0,-8.970138e-03
158,0,-9.325308e-03
159,0,-1.000975e-02
160,0,-9.164291e-03
161,0,-6.593195e-03
162,0,-6.433373e-03
163,0,-8.688520e-03
164,0,-9.585548e-03
165,0,-9.483840e-03
166,0,-9.385222e-03
167,0,-9.564414e-03
168,0,-8.283245e-03
169,0,-6.288478e-03
170,0,-1.227501e-03
171,0,-1.601299e-03
172,0,-1.690102e-03
173,0,-1.662378e-03
174,0,-1.672078e-03
175,0,-1.680386e-03
176,0,-1.358967e-03
177,0,-9.256778e-04
178,0,0.000000e+00
179,0,0.000000e+00
180,0,-4.808305e-04
181,0,-7.660840e-04
182,0,-9.043605e-04
183,0,-9.433130e-04
184,0,-9.106988e-04
185,0,-9.386043e-04
186,0,-8.274091e-04
187,0,-6.716085e-04
188,0,-2.961314e-03
189,0,-4.762844e-03
190,0,-5.177687e-03
191,0,-5.082003e-03
192,0,-4.742083e-03
193,0,-5.151058e-03
194,0,-4.689284e-03
195,0,-3.261462e-03
196,0,-3.369977e-03
197,0,-4.667935e-03
198,0,-4.987968e-03
199,0,-4.958902e-03
200,0,-5.144629e-03
201,0,-5.010685e-03
202,0,-4.901549e-03
203,0,-3.215880e-03
204,0,-6.653993e-04
205,0,-8.736598e-04
206,0,-8.947238e-04
207,0,-8.834034e-04
208,0,-9.495348e-04
209,0,-8.915296e-04
210,0,-8.214237e-04
211,0,-4.810379e-04
212,0,0.000000e+00
