G_i,G_j,G_ij
0,0,1.000000e+00
38,0,-1.455232e-04
39,0,-2.461187e-04
40,0,-1.392289e-04
41,0,-8.797835e-05
42,0,-3.154063e-05
43,0,-8.866986e-05
44,0,-3.710843e-04
45,0,-1.547981e-04
46,0,-1.298389e-03
112,0,-5.922143e-04
113,0,-2.809006e-05
114,0,-4.765734e-04
115,0,-1.326512e-04
116,0,-2.292546e-04
117,0,-6.068903e-04
118,0,-2.360773e-04
119,0,1.099817e-05
120,0,-7.884974e-05
121,0,-3.771257e-04
122,0,-3.150575e-04
123,0,-1.626673e-04
124,0,-3.118775e-04
125,0,-3.636023e-04
126,0,-1.898233e-04
127,0,-2.346914e-05
1,1,1.000000e+00
38,1,-1.955569e-03
39,1,-2.836609e-03
40,1,-2.384499e-03
41,1,-2.842126e-03
42,1,-3.954502e-03
43,1,-2.102155e-03
44,1,-2.765959e-03
45,1,-4.916134e-04
46,1,-2.805919e-03
112,1,-2.286739e-03
113,1,-2.952425e-03
114,1,-3.174093e-03
115,1,-2.918761e-03
116,1,-4.586070e-03
117,1,-3.575401e-03
118,1,-2.090631e-03
119,1,-8.814061e-04
120,1,-1.044126e-03
121,1,-1.988816e-03
122,1,-3.869389e-03
123,1,-3.170089e-03
124,1,-3.083570e-03
125,1,-2.806199e-03
126,1,-2.374312e-03
127,1,-5.605550e-04
2,2,1.000000e+00
38,2,-2.399575e-03
39,2,-3.509504e-03
40,2,-6.952545e-03
41,2,-5.764274e-03
42,2,-6.121160e-03
43,2,-3.960965e-03
44,2,-3.008311e-03
45,2,-1.668900e-03
46,2,-4.080650e-03
112,2,-2.875940e-03
113,2,-4.626089e-03
114,2,-4.802879e-03
115,2,-6.423215e-03
116,2,-7.810912e-03
117,2,-7.524827e-03
118,2,-4.346161e-03
119,2,-4.918546e-03
120,2,-2.519063e-03
121,2,-5.318747e-03
122,2,-7.467294e-03
123,2,-6.817661e-03
124,2,-6.900139e-03
125,2,-5.105670e-03
126,2,-6.023076e-03
127,2,-1.548741e-03
3,3,1.000000e+00
38,3,-3.213708e-03
39,3,-6.069187e-03
40,3,-6.371440e-03
41,3,-7.688280e-03
42,3,-7.695369e-03
43,3,-6.342097e-03
44,3,-4.923717e-03
45,3,-1.722249e-03
46,3,-8.202356e-03
112,3,-3.337294e-03
113,3,-5.439540e-03
114,3,-8.208246e-03
115,3,-1.154399e-02
116,3,-1.138137e-02
117,3,-1.165179e-02
118,3,-1.064599e-02
119,3,-5.023253e-03
120,3,-5.198070e-03
121,3,-8.584278e-03
122,3,-9.449344e-03
123,3,-7.979285e-03
124,3,-1.156667e-02
125,3,-8.571838e-03
126,3,-7.030428e-03
127,3,-3.234950e-03
4,4,1.000000e+00
38,4,-2.694477e-03
39,4,-5.440150e-03
40,4,-9.222159e-03
41,4,-8.257000e-03
42,4,-9.009789e-03
43,4,-8.015662e-03
44,4,-6.291950e-03
45,4,-2.494556e-03
46,4,-1.617597e-02
112,4,-5.343704e-03
113,4,-9.500337e-03
114,4,-1.244210e-02
115,4,-1.555709e-02
116,4,-1.643337e-02
117,4,-1.802609e-02
118,4,-1.598245e-02
119,4,-1.114930e-02
120,4,-9.301996e-03
121,4,-1.617993e-02
122,4,-2.128764e-02
123,4,-1.569689e-02
124,4,-1.291733e-02
125,4,-1.444718e-02
126,4,-8.255464e-03
127,4,-5.537114e-03
5,5,1.000000e+00
38,5,-3.434237e-03
39,5,-6.707398e-03
40,5,-9.395621e-03
41,5,-9.577384e-03
42,5,-7.505205e-03
43,5,-9.041863e-03
44,5,-4.520837e-03
45,5,-2.792539e-03
46,5,-1.933008e-02
112,5,-8.269929e-03
113,5,-1.493401e-02
114,5,-1.664348e-02
115,5,-2.204845e-02
116,5,-2.916913e-02
117,5,-2.663694e-02
118,5,-2.428461e-02
119,5,-1.725341e-02
120,5,-1.456616e-02
121,5,-2.883431e-02
122,5,-3.378220e-02
123,5,-2.085689e-02
124,5,-2.211255e-02
125,5,-1.406003e-02
126,5,-1.244314e-02
127,5,-7.086562e-03
6,6,1.000000e+00
38,6,-2.550235e-03
39,6,-5.663388e-03
40,6,-8.526581e-03
41,6,-7.457619e-03
42,6,-7.542932e-03
43,6,-7.470633e-03
44,6,-4.606556e-03
45,6,-1.434702e-03
46,6,-1.769459e-02
112,6,-7.490398e-03
113,6,-1.248142e-02
114,6,-2.105828e-02
115,6,-3.131325e-02
116,6,-3.901342e-02
117,6,-4.600901e-02
118,6,-4.013698e-02
119,6,-3.043636e-02
120,6,-2.962135e-02
121,6,-4.526723e-02
122,6,-4.218828e-02
123,6,-3.711754e-02
124,6,-3.091959e-02
125,6,-2.557560e-02
126,6,-1.535836e-02
127,6,-7.106176e-03
7,7,1.000000e+00
38,7,-1.730486e-03
39,7,-1.650647e-03
40,7,-4.044942e-03
41,7,-6.928407e-03
42,7,-8.393458e-03
43,7,-5.315303e-03
44,7,-4.039341e-03
45,7,-2.926715e-03
46,7,-2.347352e-02
112,7,-9.920646e-03
113,7,-1.417523e-02
114,7,-2.661191e-02
115,7,-4.094210e-02
116,7,-5.452378e-02
117,7,-5.614118e-02
118,7,-7.193225e-02
119,7,-5.990723e-02
120,7,-6.164677e-02
121,7,-7.495510e-02
122,7,-6.144532e-02
123,7,-5.125236e-02
124,7,-3.927617e-02
125,7,-2.768926e-02
126,7,-1.693146e-02
127,7,-9.695353e-03
8,8,1.000000e+00
38,8,-7.404664e-04
39,8,-1.823999e-03
40,8,-1.384389e-03
41,8,-3.432760e-03
42,8,-3.478140e-03
43,8,-3.903727e-03
44,8,-1.724856e-03
45,8,-1.949708e-03
46,8,-1.965477e-02
47,8,1.216387e-05
48,8,-6.402651e-05
49,8,-3.825625e-06
50,8,7.978301e-05
51,8,-2.964415e-06
52,8,1.058601e-04
53,8,-6.218074e-05
54,8,1.761932e-05
55,8,-4.902168e-06
112,8,-1.047036e-02
113,8,-2.216628e-02
114,8,-2.662984e-02
115,8,-4.683529e-02
116,8,-6.315900e-02
117,8,-8.326777e-02
118,8,-1.219039e-01
119,8,-1.583723e-01
120,8,-1.651086e-01
121,8,-1.210004e-01
122,8,-7.979877e-02
123,8,-5.920953e-02
124,8,-4.775169e-02
125,8,-2.939493e-02
126,8,-2.308664e-02
127,8,-1.086376e-02
146,8,-2.889496e-05
147,8,2.814239e-05
148,8,9.057668e-05
149,8,5.514425e-05
150,8,3.407681e-06
151,8,2.981875e-05
152,8,1.129996e-05
153,8,9.853956e-05
154,8,1.936998e-05
