Gvar_i,Gvar_j,Gvar_ij
38,0,1.912871e-04
39,0,1.906295e-04
40,0,2.441785e-04
41,0,1.466025e-04
42,0,1.418027e-04
43,0,9.861108e-05
44,0,3.423133e-04
45,0,8.749902e-05
46,0,9.701306e-04
112,0,3.710319e-04
113,0,5.247635e-05
114,0,3.687114e-04
115,0,2.011767e-04
116,0,1.760189e-04
117,0,4.796609e-04
118,0,1.835072e-04
119,0,2.217783e-05
120,0,4.054320e-05
121,0,2.636836e-04
122,0,2.833373e-04
123,0,1.380038e-04
124,0,2.303776e-04
125,0,1.919014e-04
126,0,1.692813e-04
127,0,2.690542e-05
38,1,1.662449e-03
39,1,2.566955e-03
40,1,2.053826e-03
41,1,2.507605e-03
42,1,3.569794e-03
43,1,1.897271e-03
44,1,2.244650e-03
45,1,5.549039e-04
46,1,2.512636e-03
112,1,1.985485e-03
113,1,2.694944e-03
114,1,2.830295e-03
115,1,2.463542e-03
116,1,4.361719e-03
117,1,3.247854e-03
118,1,2.111418e-03
119,1,1.068641e-03
120,1,9.779175e-04
121,1,2.093966e-03
122,1,3.649475e-03
123,1,2.920598e-03
124,1,2.760810e-03
125,1,2.462369e-03
126,1,2.172914e-03
127,1,5.333567e-04
38,2,2.035050e-03
39,2,3.272663e-03
40,2,5.792926e-03
41,2,5.260604e-03
42,2,5.287908e-03
43,2,3.698300e-03
44,2,3.050786e-03
45,2,1.491783e-03
46,2,3.640753e-03
112,2,2.727294e-03
113,2,3.837284e-03
114,2,4.286735e-03
115,2,5.982897e-03
116,2,7.060976e-03
117,2,7.444308e-03
118,2,4.136770e-03
119,2,4.152391e-03
120,2,2.330093e-03
121,2,4.949281e-03
122,2,6.981417e-03
123,2,6.158577e-03
124,2,6.374949e-03
125,2,5.316103e-03
126,2,5.613042e-03
127,2,1.560549e-03
38,3,2.972805e-03
39,3,5.320644e-03
40,3,6.410810e-03
41,3,7.129098e-03
42,3,7.194273e-03
43,3,5.642880e-03
44,3,4.511591e-03
45,3,1.550326e-03
46,3,8.302100e-03
112,3,3.654427e-03
113,3,6.149347e-03
114,3,8.052002e-03
115,3,1.083774e-02
116,3,1.064737e-02
117,3,1.086812e-02
118,3,9.978336e-03
119,3,5.328403e-03
120,3,5.323599e-03
121,3,8.009057e-03
122,3,9.531246e-03
123,3,8.234239e-03
124,3,1.051488e-02
125,3,8.136047e-03
126,3,6.240887e-03
127,3,3.098436e-03
38,4,2.469280e-03
39,4,5.183802e-03
40,4,8.239509e-03
41,4,7.089525e-03
42,4,8.057247e-03
43,4,7.537688e-03
44,4,5.299690e-03
45,4,2.562673e-03
46,4,1.419106e-02
112,4,4.450636e-03
113,4,8.287747e-03
114,4,1.108888e-02
115,4,1.413081e-02
116,4,1.607700e-02
117,4,1.626843e-02
118,4,1.471177e-02
119,4,1.023060e-02
120,4,8.561480e-03
121,4,1.556930e-02
122,4,1.927622e-02
123,4,1.374128e-02
124,4,1.210955e-02
125,4,1.224734e-02
126,4,7.775350e-03
127,4,4.774157e-03
38,5,3.214969e-03
39,5,5.951330e-03
40,5,8.393590e-03
41,5,8.683309e-03
42,5,7.537853e-03
43,5,8.261767e-03
44,5,4.519341e-03
45,5,2.219375e-03
46,5,1.728112e-02
112,5,6.975350e-03
113,5,1.299976e-02
114,5,1.530588e-02
115,5,2.014905e-02
116,5,2.507784e-02
117,5,2.485678e-02
118,5,2.326876e-02
119,5,1.664934e-02
120,5,1.491579e-02
121,5,2.648410e-02
122,5,2.955174e-02
123,5,2.067115e-02
124,5,2.083174e-02
125,5,1.403743e-02
126,5,1.132409e-02
127,5,6.636360e-03
38,6,2.148288e-03
39,6,4.963644e-03
40,6,7.881033e-03
41,6,6.684219e-03
42,6,6.560023e-03
43,6,6.933526e-03
44,6,3.978698e-03
45,6,1.525280e-03
46,6,1.625139e-02
112,6,8.026640e-03
113,6,1.254353e-02
114,6,1.933098e-02
115,6,2.863653e-02
116,6,3.546710e-02
117,6,4.022549e-02
118,6,3.722023e-02
119,6,2.833042e-02
120,6,2.746611e-02
121,6,3.992136e-02
122,6,3.846527e-02
123,6,3.228400e-02
124,6,2.688260e-02
125,6,2.242507e-02
126,6,1.349606e-02
127,6,6.783674e-03
38,7,1.648117e-03
39,7,1.845297e-03
40,7,3.401466e-03
41,7,6.550142e-03
42,7,7.127558e-03
43,7,4.741893e-03
44,7,3.856684e-03
45,7,2.841541e-03
46,7,2.091822e-02
112,7,8.502561e-03
113,7,1.290970e-02
114,7,2.344712e-02
115,7,3.494809e-02
116,7,4.748393e-02
117,7,5.079817e-02
118,7,6.324179e-02
119,7,6.000500e-02
120,7,6.235838e-02
121,7,6.480317e-02
122,7,5.422787e-02
123,7,4.462166e-02
124,7,3.459168e-02
125,7,2.532697e-02
126,7,1.585891e-02
127,7,7.751716e-03
38,8,7.153799e-04
39,8,1.516726e-03
40,8,1.582697e-03
41,8,3.176050e-03
42,8,3.448668e-03
43,8,3.214461e-03
44,8,1.650724e-03
45,8,1.490578e-03
46,8,1.833929e-02
47,8,4.278500e-06
48,8,4.401965e-06
49,8,1.053874e-05
50,8,1.471708e-05
51,8,1.266435e-05
52,8,1.058372e-05
53,8,8.936492e-06
54,8,1.808095e-06
55,8,8.236922e-06
112,8,9.365485e-03
113,8,1.944039e-02
114,8,2.456118e-02
