Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,2.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-nan
1,2.500000e-01,2.777778e-02,6.162842e-02,6.161700e-02,-1.141525e-05,1.852270e-04
2,2.500000e-01,5.555556e-02,1.227878e-01,1.268912e-01,4.103392e-03,3.341856e-02
3,2.500000e-01,8.333333e-02,1.830127e-01,1.882149e-01,5.202211e-03,2.842541e-02
4,2.500000e-01,1.111111e-01,2.418448e-01,2.480647e-01,6.219927e-03,2.571868e-02
5,2.500000e-01,1.388889e-01,2.988362e-01,2.984565e-01,-3.797457e-04,1.270748e-03
6,2.500000e-01,1.666667e-01,3.535534e-01,3.552546e-01,1.701203e-03,4.811730e-03
7,2.500000e-01,1.944444e-01,4.055798e-01,4.116024e-01,6.022584e-03,1.484932e-02
8,2.500000e-01,2.222222e-01,4.545195e-01,4.610065e-01,6.487040e-03,1.427230e-02
9,2.500000e-01,2.500000e-01,5.000000e-01,5.068175e-01,6.817523e-03,1.363505e-02
10,2.500000e-01,2.777778e-01,5.416752e-01,5.523220e-01,1.064681e-02,1.965534e-02
11,2.500000e-01,3.055556e-01,5.792280e-01,5.862106e-01,6.982630e-03,1.205506e-02
12,2.500000e-01,3.333333e-01,6.123724e-01,6.275142e-01,1.514180e-02,2.472646e-02
13,2.500000e-01,3.611111e-01,6.408564e-01,6.522500e-01,1.139364e-02,1.777878e-02
14,2.500000e-01,3.888889e-01,6.644630e-01,6.769023e-01,1.243930e-02,1.872084e-02
15,2.500000e-01,4.166667e-01,6.830127e-01,6.972024e-01,1.418968e-02,2.077514e-02
16,2.500000e-01,4.444444e-01,6.963642e-01,7.079390e-01,1.157480e-02,1.662176e-02
17,2.500000e-01,4.722222e-01,7.044160e-01,7.174469e-01,1.303090e-02,1.849887e-02
18,2.500000e-01,5.000000e-01,7.071068e-01,7.188601e-01,1.175335e-02,1.662174e-02
19,2.500000e-01,5.277778e-01,7.044160e-01,7.168806e-01,1.246456e-02,1.769488e-02
20,2.500000e-01,5.555556e-01,6.963642e-01,7.102717e-01,1.390745e-02,1.997152e-02
21,2.500000e-01,5.833333e-01,6.830127e-01,6.967893e-01,1.377659e-02,2.017033e-02
22,2.500000e-01,6.111111e-01,6.644630e-01,6.809473e-01,1.648425e-02,2.480838e-02
23,2.500000e-01,6.388889e-01,6.408564e-01,6.603238e-01,1.946741e-02,3.037718e-02
24,2.500000e-01,6.666667e-01,6.123724e-01,6.269294e-01,1.455695e-02,2.377140e-02
25,2.500000e-01,6.944444e-01,5.792280e-01,5.922305e-01,1.300253e-02,2.244804e-02
26,2.500000e-01,7.222222e-01,5.416752e-01,5.525777e-01,1.090248e-02,2.012733e-02
27,2.500000e-01,7.500000e-01,5.000000e-01,5.123428e-01,1.234283e-02,2.468565e-02
28,2.500000e-01,7.777778e-01,4.545195e-01,4.682378e-01,1.371830e-02,3.018199e-02
29,2.500000e-01,8.055556e-01,4.055798e-01,4.115738e-01,5.993980e-03,1.477879e-02
30,2.500000e-01,8.333333e-01,3.535534e-01,3.592264e-01,5.672977e-03,1.604560e-02
31,2.500000e-01,8.611111e-01,2.988362e-01,3.026592e-01,3.822997e-03,1.279295e-02
32,2.500000e-01,8.888889e-01,2.418448e-01,2.427307e-01,8.859458e-04,3.663283e-03
33,2.500000e-01,9.166667e-01,1.830127e-01,1.874439e-01,4.431178e-03,2.421241e-02
34,2.500000e-01,9.444444e-01,1.227878e-01,1.254509e-01,2.663142e-03,2.168897e-02
35,2.500000e-01,9.722222e-01,6.162842e-02,5.823289e-02,-3.395528e-03,5.509679e-02
36,2.500000e-01,1.000000e+00,8.659561e-17,0.000000e+00,-8.659561e-17,1.000000e+00
37,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-nan
38,5.000000e-01,2.777778e-02,8.715574e-02,8.753278e-02,3.770396e-04,4.326044e-03
39,5.000000e-01,5.555556e-02,1.736482e-01,1.773489e-01,3.700693e-03,2.131144e-02
40,5.000000e-01,8.333333e-02,2.588190e-01,2.657600e-01,6.941003e-03,2.681798e-02
41,5.000000e-01,1.111111e-01,3.420201e-01,3.485119e-01,6.491712e-03,1.898050e-02
42,5.000000e-01,1.388889e-01,4.226183e-01,4.224086e-01,-2.096272e-04,4.960202e-04
43,5.000000e-01,1.666667e-01,5.000000e-01,5.079845e-01,7.984496e-03,1.596899e-02
44,5.000000e-01,1.944444e-01,5.735764e-01,5.845587e-01,1.098228e-02,1.914703e-02
45,5.000000e-01,2.222222e-01,6.427876e-01,6.499473e-01,7.159706e-03,1.113853e-02
46,5.000000e-01,2.500000e-01,7.071068e-01,7.129559e-01,5.849142e-03,8.271936e-03
47,5.000000e-01,2.777778e-01,7.660444e-01,7.798031e-01,1.375870e-02,1.796070e-02
48,5.000000e-01,3.055556e-01,8.191520e-01,8.363102e-01,1.715821e-02,2.094630e-02
49,5.000000e-01,3.333333e-01,8.660254e-01,8.826743e-01,1.664894e-02,1.922453e-02
50,5.000000e-01,3.611111e-01,9.063078e-01,9.300851e-01,2.377729e-02,2.623533e-02
51,5.000000e-01,3.888889e-01,9.396926e-01,9.612127e-01,2.152011e-02,2.290122e-02
52,5.000000e-01,4.166667e-01,9.659258e-01,9.926901e-01,2.676423e-02,2.770837e-02
53,5.000000e-01,4.444444e-01,9.848078e-01,1.012725e+00,2.791714e-02,2.834781e-02
54,5.000000e-01,4.722222e-01,9.961947e-01,1.027991e+00,3.179600e-02,3.191746e-02
55,5.000000e-01,5.000000e-01,1.000000e+00,1.032862e+00,3.286182e-02,3.286182e-02
56,5.000000e-01,5.277778e-01,9.961947e-01,1.026833e+00,3.063870e-02,3.075574e-02
57,5.000000e-01,5.555556e-01,9.848078e-01,1.011121e+00,2.631296e-02,2.671888e-02
58,5.000000e-01,5.833333e-01,9.659258e-01,9.923800e-01,2.645418e-02,2.738738e-02
59,5.000000e-01,6.111111e-01,9.396926e-01,9.625515e-01,2.285886e-02,2.432590e-02
60,5.000000e-01,6.388889e-01,9.063078e-01,9.307369e-01,2.442911e-02,2.695454e-02
61,5.000000e-01,6.666667e-01,8.660254e-01,8.890196e-01,2.299417e-02,2.655138e-02
62,5.000000e-01,6.944444e-01,8.191520e-01,8.422654e-01,2.311337e-02,2.821621e-02
63,5.000000e-01,7.222222e-01,7.660444e-01,7.803810e-01,1.433652e-02,1.871500e-02
64,5.000000e-01,7.500000e-01,7.071068e-01,7.245939e-01,1.748709e-02,2.473047e-02
65,5.000000e-01,7.777778e-01,6.427876e-01,6.561331e-01,1.334550e-02,2.076191e-02
66,5.000000e-01,8.055556e-01,5.735764e-01,5.858092e-01,1.223281e-02,2.132725e-02
67,5.000000e-01,8.333333e-01,5.000000e-01,5.080379e-01,8.037857e-03,1.607571e-02
68,5.000000e-01,8.611111e-01,4.226183e-01,4.304809e-01,7.862678e-03,1.860468e-02
69,5.000000e-01,8.888889e-01,3.420201e-01,3.419436e-01,-7.655002e-05,2.238173e-04
70,5.000000e-01,9.166667e-01,2.588190e-01,2.606988e-01,1.879780e-03,7.262912e-03
71,5.000000e-01,9.444444e-01,1.736482e-01,1.861230e-01,1.247487e-02,7.183990e-02
72,5.000000e-01,9.722222e-01,8.715574e-02,9.385694e-02,6.701198e-03,7.688763e-02
73,5.000000e-01,1.000000e+00,1.224647e-16,0.000000e+00,-1.224647e-16,1.000000e+00
74,7.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-nan
75,7.500000e-01,2.777778e-02,6.162842e-02,6.169678e-02,6.835905e-05,1.109213e-03
76,7.500000e-01,5.555556e-02,1.227878e-01,1.229348e-01,1.469588e-04,1.196851e-03
77,7.500000e-01,8.333333e-02,1.830127e-01,1.862245e-01,3.211815e-03,1.754968e-02
78,7.500000e-01,1.111111e-01,2.418448e-01,2.428514e-01,1.006669e-03,4.162459e-03
79,7.500000e-01,1.388889e-01,2.988362e-01,2.960975e-01,-2.738754e-03,9.164733e-03
80,7.500000e-01,1.666667e-01,3.535534e-01,3.593226e-01,5.769244e-03,1.631789e-02
81,7.500000e-01,1.944444e-01,4.055798e-01,4.101992e-01,4.619374e-03,1.138956e-02
82,7.500000e-01,2.222222e-01,4.545195e-01,4.526045e-01,-1.914999e-03,4.213239e-03
83,7.500000e-01,2.500000e-01,5.000000e-01,4.986224e-01,-1.377646e-03,2.755291e-03
84,7.500000e-01,2.777778e-01,5.416752e-01,5.447140e-01,3.038764e-03,5.609936e-03
85,7.500000e-01,3.055556e-01,5.792280e-01,5.883064e-01,9.078467e-03,1.567339e-02
86,7.500000e-01,3.333333e-01,6.123724e-01,6.183071e-01,5.934664e-03,9.691266e-03
87,7.500000e-01,3.611111e-01,6.408564e-01,6.500916e-01,9.235264e-03,1.441082e-02
88,7.500000e-01,3.888889e-01,6.644630e-01,6.737906e-01,9.327601e-03,1.403780e-02
89,7.500000e-01,4.166667e-01,6.830127e-01,6.979436e-01,1.493085e-02,2.186029e-02
90,7.500000e-01,4.444444e-01,6.963642e-01,7.116184e-01,1.525419e-02,2.190547e-02
91,7.500000e-01,4.722222e-01,7.044160e-01,7.236270e-01,1.921102e-02,2.727227e-02
92,7.500000e-01,5.000000e-01,7.071068e-01,7.277416e-01,2.063478e-02,2.918198e-02
