G_i,G_j,G_ij
0,0,1.000000e+00
64,0,-8.079388e-06
65,0,-3.009895e-05
66,0,-2.073020e-06
67,0,-1.262432e-05
68,0,-7.033945e-05
69,0,-2.370148e-05
70,0,1.827651e-05
71,0,-3.828589e-05
72,0,-4.574525e-05
73,0,-1.341933e-07
74,0,2.438137e-06
75,0,-2.510906e-05
76,0,-1.207302e-05
77,0,-1.159711e-05
78,0,1.046979e-05
79,0,8.291208e-06
80,0,-9.160454e-06
81,0,-3.037002e-05
82,0,-1.585740e-04
83,0,8.251161e-06
84,0,-3.459429e-05
85,0,-5.662178e-05
86,0,-4.000267e-05
87,0,-5.249402e-05
88,0,-5.974906e-05
89,0,-6.884820e-05
90,0,-7.678124e-06
91,0,-5.936079e-06
92,0,-7.352722e-05
93,0,-7.496203e-06
94,0,-7.222454e-06
95,0,-7.933995e-06
96,0,-4.540886e-06
97,0,-5.003286e-06
98,0,-4.030036e-05
99,0,-8.402037e-06
100,0,-1.542486e-05
101,0,-1.083269e-05
102,0,-3.218572e-10
103,0,-3.291426e-05
104,0,-3.841468e-05
105,0,3.183071e-06
106,0,4.874164e-06
107,0,-2.192257e-05
108,0,-1.031054e-04
109,0,-4.272571e-05
110,0,2.236205e-05
111,0,-1.462507e-05
112,0,-5.609029e-05
113,0,-3.085817e-05
114,0,-1.028132e-05
115,0,-3.058001e-05
116,0,-6.084409e-05
117,0,-1.627300e-05
118,0,1.497516e-05
119,0,1.000557e-05
120,0,-2.722792e-05
121,0,-3.148574e-05
122,0,-1.264616e-06
123,0,-3.805958e-05
1,1,1.000000e+00
64,1,-4.114531e-05
65,1,-7.799598e-06
66,1,-7.122748e-05
67,1,-1.082686e-04
68,1,-2.620613e-04
69,1,-1.494228e-04
70,1,-1.516500e-04
71,1,-2.069980e-04
72,1,-1.847772e-04
73,1,-1.833412e-05
74,1,-2.490945e-04
75,1,-2.285104e-04
76,1,-1.583121e-04
77,1,-3.027496e-04
78,1,-2.333020e-04
79,1,-1.757009e-04
80,1,-1.522346e-04
81,1,-2.131968e-04
82,1,-3.588395e-04
83,1,-1.342293e-04
84,1,-2.720564e-04
85,1,-1.271309e-04
86,1,-1.399284e-04
87,1,-1.083988e-04
88,1,-3.895365e-04
89,1,-1.632306e-04
