B_i,B_j,B_ij
0,0,0.000000e+00
1,0,-8.193133e-07
2,0,-1.584033e-06
3,0,-2.340817e-06
4,0,-3.233543e-06
5,0,-4.054818e-06
6,0,-4.749004e-06
7,0,-5.556886e-06
8,0,-6.489990e-06
9,0,-7.362046e-06
10,0,-7.952958e-06
11,0,-8.781383e-06
12,0,-9.425472e-06
13,0,-1.034780e-05
14,0,-1.118942e-05
15,0,-1.171879e-05
16,0,-1.242140e-05
17,0,-1.302683e-05
18,0,-1.342345e-05
19,0,-1.367205e-05
20,0,-1.406007e-05
21,0,-1.403555e-05
22,0,-1.383819e-05
23,0,-1.354698e-05
24,0,-1.282965e-05
25,0,-1.218453e-05
26,0,-1.086526e-05
27,0,-9.527002e-06
28,0,-7.722682e-06
29,0,-5.449360e-06
30,0,-3.097923e-06
31,0,-4.783224e-05
32,0,-2.820021e-06
33,0,-5.325554e-06
34,0,-7.460750e-06
35,0,-9.468278e-06
36,0,-1.072381e-05
37,0,-1.180763e-05
38,0,-1.273533e-05
39,0,-1.341180e-05
40,0,-1.363076e-05
41,0,-1.369656e-05
42,0,-1.380373e-05
43,0,-1.355663e-05
44,0,-1.330610e-05
45,0,-1.288574e-05
46,0,-1.247274e-05
47,0,-1.158588e-05
48,0,-1.108788e-05
49,0,-1.039128e-05
50,0,-9.431781e-06
51,0,-8.677503e-06
52,0,-8.062689e-06
53,0,-7.028896e-06
54,0,-6.315308e-06
55,0,-5.542347e-06
56,0,-4.665425e-06
57,0,-3.905485e-06
58,0,-3.259087e-06
59,0,-2.371577e-06
60,0,-1.545619e-06
61,0,-8.485630e-07
62,0,0.000000e+00
63,0,0.000000e+00
64,0,-8.220775e-07
65,0,-1.610795e-06
66,0,-2.403852e-06
67,0,-3.201412e-06
68,0,-4.019657e-06
69,0,-4.749398e-06
70,0,-5.607103e-06
71,0,-6.513412e-06
72,0,-7.200785e-06
73,0,-7.982962e-06
74,0,-9.014642e-06
75,0,-9.568064e-06
76,0,-1.021205e-05
77,0,-1.126862e-05
78,0,-1.190254e-05
79,0,-1.258720e-05
80,0,-1.295230e-05
81,0,-1.357889e-05
82,0,-1.369398e-05
83,0,-1.402649e-05
84,0,-1.400801e-05
85,0,-1.384671e-05
86,0,-1.352090e-05
87,0,-1.292716e-05
88,0,-1.207660e-05
89,0,-1.092272e-05
90,0,-9.502164e-06
91,0,-7.617707e-06
92,0,-5.496805e-06
93,0,-3.024869e-06
94,0,-2.954386e-06
95,0,-5.480739e-06
96,0,-7.489252e-06
97,0,-9.282320e-06
98,0,-1.073104e-05
99,0,-1.189958e-05
100,0,-1.277448e-05
101,0,-1.338910e-05
102,0,-1.373961e-05
103,0,-1.360998e-05
104,0,-1.375258e-05
105,0,-1.339342e-05
106,0,-1.310222e-05
107,0,-1.298349e-05
108,0,-1.222768e-05
109,0,-1.183215e-05
110,0,-1.107602e-05
111,0,-1.030938e-05
112,0,-9.438103e-06
113,0,-8.713542e-06
114,0,-7.928578e-06
115,0,-7.198998e-06
116,0,-6.270264e-06
117,0,-5.602260e-06
118,0,-4.728450e-06
119,0,-3.905441e-06
120,0,-3.190685e-06
121,0,-2.307658e-06
122,0,-1.601546e-06
123,0,-7.549469e-07
124,0,0.000000e+00
