Gvar_i,Gvar_j,Gvar_ij
64,0,1.042918e-06
65,0,1.251423e-05
66,0,9.063343e-07
67,0,1.114528e-05
68,0,3.989533e-05
69,0,1.412364e-05
70,0,2.133628e-06
71,0,2.130040e-05
72,0,2.603000e-05
73,0,6.645318e-07
74,0,3.597192e-06
75,0,1.395509e-05
76,0,4.500855e-06
77,0,4.586682e-05
78,0,4.693534e-06
79,0,2.087965e-06
80,0,9.708838e-06
81,0,2.210435e-05
82,0,1.132465e-04
83,0,1.933625e-06
84,0,1.907971e-05
85,0,2.641887e-05
86,0,1.269405e-05
87,0,4.249907e-05
88,0,3.648086e-05
89,0,6.830815e-05
90,0,1.017015e-07
91,0,3.704668e-08
92,0,3.659102e-05
93,0,2.515331e-08
94,0,1.410473e-08
95,0,1.479452e-06
96,0,1.132904e-06
97,0,5.641178e-07
98,0,1.314441e-05
99,0,7.377920e-07
100,0,3.086202e-06
101,0,5.619238e-06
102,0,1.571155e-06
103,0,1.689691e-05
104,0,1.581297e-05
105,0,4.335925e-06
106,0,3.106733e-06
107,0,3.220840e-05
108,0,6.733195e-05
109,0,3.235693e-05
110,0,2.603473e-06
111,0,2.978598e-05
112,0,2.667417e-05
113,0,3.375266e-05
114,0,2.185824e-06
115,0,2.034263e-05
116,0,5.101687e-05
117,0,1.154135e-05
118,0,4.388971e-06
119,0,6.325077e-07
120,0,9.733623e-06
121,0,1.773568e-05
122,0,2.330673e-08
123,0,2.717362e-05
64,1,3.991922e-05
65,1,1.993366e-05
66,1,6.560550e-05
67,1,8.381432e-05
68,1,2.091535e-04
69,1,1.174152e-04
70,1,1.139588e-04
71,1,1.575447e-04
72,1,1.837539e-04
73,1,1.933200e-05
74,1,2.223159e-04
75,1,1.886411e-04
76,1,1.414586e-04
77,1,1.996468e-04
78,1,1.851528e-04
79,1,1.848112e-04
80,1,1.391856e-04
81,1,1.727387e-04
82,1,2.907806e-04
83,1,1.169619e-04
84,1,2.291412e-04
85,1,1.774561e-04
86,1,1.276585e-04
87,1,6.726824e-05
88,1,3.366288e-04
89,1,1.183371e-04
90,1,2.426723e-06
91,1,8.493688e-07
92,1,1.853027e-04
93,1,5.935052e-07
94,1,3.403473e-07
95,1,5.639245e-05
96,1,1.782183e-04
97,1,4.019996e-05
98,1,1.420890e-04
99,1,4.438316e-05
100,1,1.537031e-04
101,1,1.602502e-04
102,1,1.512861e-04
103,1,2.690071e-04
104,1,1.199245e-04
105,1,1.768515e-04
106,1,1.844838e-04
107,1,2.804924e-04
108,1,1.778608e-04
109,1,2.580061e-04
110,1,2.430908e-04
111,1,1.820009e-04
112,1,1.479931e-04
113,1,2.698508e-04
114,1,2.574506e-04
115,1,8.227789e-05
116,1,2.094017e-04
117,1,1.201390e-04
118,1,1.883757e-04
119,1,8.594179e-05
120,1,8.132967e-05
121,1,9.494868e-05
122,1,5.222686e-07
123,1,5.877371e-06
64,2,5.518153e-05
65,2,8.109425e-05
66,2,1.418528e-04
67,2,1.200696e-04
68,2,2.278656e-04
69,2,1.896102e-04
70,2,2.448980e-04
71,2,2.903737e-04
72,2,2.799661e-04
73,2,3.044868e-04
74,2,3.622295e-04
75,2,3.392253e-04
76,2,2.758299e-04
77,2,2.277439e-04
78,2,6.765900e-04
79,2,7.307413e-04
80,2,6.638121e-04
81,2,2.305271e-04
82,2,5.206940e-04
83,2,5.362492e-04
84,2,2.437865e-04
85,2,5.787399e-04
86,2,3.487138e-04
