Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
0,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-nan
1,5.000000e-01,1.612903e-02,5.064917e-02,-6.189139e-12,-5.064917e-02,1.000000e+00
2,5.000000e-01,3.225806e-02,1.011683e-01,-1.228256e-11,-1.011683e-01,1.000000e+00
3,5.000000e-01,4.838710e-02,1.514278e-01,-1.780951e-11,-1.514278e-01,1.000000e+00
4,5.000000e-01,6.451613e-02,2.012985e-01,-2.497773e-11,-2.012985e-01,1.000000e+00
5,5.000000e-01,8.064516e-02,2.506525e-01,-3.115240e-11,-2.506525e-01,1.000000e+00
6,5.000000e-01,9.677419e-02,2.993631e-01,-3.714543e-11,-2.993631e-01,1.000000e+00
7,5.000000e-01,1.129032e-01,3.473053e-01,-4.393997e-11,-3.473053e-01,1.000000e+00
8,5.000000e-01,1.290323e-01,3.943559e-01,-5.022731e-11,-3.943559e-01,1.000000e+00
9,5.000000e-01,1.451613e-01,4.403942e-01,-5.849728e-11,-4.403942e-01,1.000000e+00
10,5.000000e-01,1.612903e-01,4.853020e-01,-6.339788e-11,-4.853020e-01,1.000000e+00
11,5.000000e-01,1.774194e-01,5.289640e-01,-7.010826e-11,-5.289640e-01,1.000000e+00
12,5.000000e-01,1.935484e-01,5.712682e-01,-7.720518e-11,-5.712682e-01,1.000000e+00
13,5.000000e-01,2.096774e-01,6.121060e-01,-8.480837e-11,-6.121060e-01,1.000000e+00
14,5.000000e-01,2.258065e-01,6.513725e-01,-9.292601e-11,-6.513725e-01,1.000000e+00
15,5.000000e-01,2.419355e-01,6.889669e-01,-9.904609e-11,-6.889669e-01,1.000000e+00
16,5.000000e-01,2.580645e-01,7.247928e-01,-1.074913e-10,-7.247928e-01,1.000000e+00
17,5.000000e-01,2.741935e-01,7.587581e-01,-1.142700e-10,-7.587581e-01,1.000000e+00
18,5.000000e-01,2.903226e-01,7.907757e-01,-1.207061e-10,-7.907757e-01,1.000000e+00
19,5.000000e-01,3.064516e-01,8.207634e-01,-1.293182e-10,-8.207634e-01,1.000000e+00
20,5.000000e-01,3.225806e-01,8.486443e-01,-1.358922e-10,-8.486443e-01,1.000000e+00
21,5.000000e-01,3.387097e-01,8.743466e-01,-1.419111e-10,-8.743466e-01,1.000000e+00
22,5.000000e-01,3.548387e-01,8.978045e-01,-1.491097e-10,-8.978045e-01,1.000000e+00
23,5.000000e-01,3.709677e-01,9.189578e-01,-1.543264e-10,-9.189578e-01,1.000000e+00
24,5.000000e-01,3.870968e-01,9.377521e-01,-1.592286e-10,-9.377521e-01,1.000000e+00
25,5.000000e-01,4.032258e-01,9.541393e-01,-1.649390e-10,-9.541393e-01,1.000000e+00
26,5.000000e-01,4.193548e-01,9.680771e-01,-1.677144e-10,-9.680771e-01,1.000000e+00
27,5.000000e-01,4.354839e-01,9.795299e-01,-1.716869e-10,-9.795299e-01,1.000000e+00
28,5.000000e-01,4.516129e-01,9.884683e-01,-1.746638e-10,-9.884683e-01,1.000000e+00
29,5.000000e-01,4.677419e-01,9.948693e-01,-1.760805e-10,-9.948693e-01,1.000000e+00
30,5.000000e-01,4.838710e-01,9.987165e-01,-1.777619e-10,-9.987165e-01,1.000000e+00
31,5.000000e-01,5.000000e-01,1.000000e+00,-1.779459e-10,-1.000000e+00,1.000000e+00
32,5.000000e-01,5.161290e-01,9.987165e-01,-1.775167e-10,-9.987165e-01,1.000000e+00
33,5.000000e-01,5.322581e-01,9.948693e-01,-1.763525e-10,-9.948693e-01,1.000000e+00
34,5.000000e-01,5.483871e-01,9.884683e-01,-1.744319e-10,-9.884683e-01,1.000000e+00
35,5.000000e-01,5.645161e-01,9.795299e-01,-1.715583e-10,-9.795299e-01,1.000000e+00
36,5.000000e-01,5.806452e-01,9.680771e-01,-1.680151e-10,-9.680771e-01,1.000000e+00
37,5.000000e-01,5.967742e-01,9.541393e-01,-1.640819e-10,-9.541393e-01,1.000000e+00
38,5.000000e-01,6.129032e-01,9.377521e-01,-1.587796e-10,-9.377521e-01,1.000000e+00
39,5.000000e-01,6.290323e-01,9.189578e-01,-1.537286e-10,-9.189578e-01,1.000000e+00
40,5.000000e-01,6.451613e-01,8.978045e-01,-1.468114e-10,-8.978045e-01,1.000000e+00
41,5.000000e-01,6.612903e-01,8.743466e-01,-1.409112e-10,-8.743466e-01,1.000000e+00
42,5.000000e-01,6.774194e-01,8.486443e-01,-1.355014e-10,-8.486443e-01,1.000000e+00
43,5.000000e-01,6.935484e-01,8.207634e-01,-1.271984e-10,-8.207634e-01,1.000000e+00
44,5.000000e-01,7.096774e-01,7.907757e-01,-1.209571e-10,-7.907757e-01,1.000000e+00
45,5.000000e-01,7.258065e-01,7.587581e-01,-1.131440e-10,-7.587581e-01,1.000000e+00
46,5.000000e-01,7.419355e-01,7.247928e-01,-1.074490e-10,-7.247928e-01,1.000000e+00
47,5.000000e-01,7.580645e-01,6.889669e-01,-9.915301e-11,-6.889669e-01,1.000000e+00
48,5.000000e-01,7.741935e-01,6.513725e-01,-9.172780e-11,-6.513725e-01,1.000000e+00
49,5.000000e-01,7.903226e-01,6.121060e-01,-8.560803e-11,-6.121060e-01,1.000000e+00
50,5.000000e-01,8.064516e-01,5.712682e-01,-7.675369e-11,-5.712682e-01,1.000000e+00
51,5.000000e-01,8.225806e-01,5.289640e-01,-7.050205e-11,-5.289640e-01,1.000000e+00
52,5.000000e-01,8.387097e-01,4.853020e-01,-6.434262e-11,-4.853020e-01,1.000000e+00
53,5.000000e-01,8.548387e-01,4.403942e-01,-5.563610e-11,-4.403942e-01,1.000000e+00
54,5.000000e-01,8.709677e-01,3.943559e-01,-4.980630e-11,-3.943559e-01,1.000000e+00
55,5.000000e-01,8.870968e-01,3.473053e-01,-4.293685e-11,-3.473053e-01,1.000000e+00
56,5.000000e-01,9.032258e-01,2.993631e-01,-3.633932e-11,-2.993631e-01,1.000000e+00
57,5.000000e-01,9.193548e-01,2.506525e-01,-3.072337e-11,-2.506525e-01,1.000000e+00
58,5.000000e-01,9.354839e-01,2.012985e-01,-2.550109e-11,-2.012985e-01,1.000000e+00
59,5.000000e-01,9.516129e-01,1.514278e-01,-1.808073e-11,-1.514278e-01,1.000000e+00
60,5.000000e-01,9.677419e-01,1.011683e-01,-1.228200e-11,-1.011683e-01,1.000000e+00
61,5.000000e-01,9.838710e-01,5.064917e-02,-6.446845e-12,-5.064917e-02,1.000000e+00
62,5.000000e-01,1.000000e+00,1.454732e-15,0.000000e+00,-1.454732e-15,1.000000e+00
63,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,-nan
64,1.612903e-02,5.000000e-01,5.064917e-02,-6.501772e-12,-5.064917e-02,1.000000e+00
65,3.225806e-02,5.000000e-01,1.011683e-01,-1.247746e-11,-1.011683e-01,1.000000e+00
66,4.838710e-02,5.000000e-01,1.514278e-01,-1.828715e-11,-1.514278e-01,1.000000e+00
67,6.451613e-02,5.000000e-01,2.012985e-01,-2.526913e-11,-2.012985e-01,1.000000e+00
68,8.064516e-02,5.000000e-01,2.506525e-01,-3.084525e-11,-2.506525e-01,1.000000e+00
69,9.677419e-02,5.000000e-01,2.993631e-01,-3.697981e-11,-2.993631e-01,1.000000e+00
70,1.129032e-01,5.000000e-01,3.473053e-01,-4.410575e-11,-3.473053e-01,1.000000e+00
71,1.290323e-01,5.000000e-01,3.943559e-01,-5.046087e-11,-3.943559e-01,1.000000e+00
72,1.451613e-01,5.000000e-01,4.403942e-01,-5.724396e-11,-4.403942e-01,1.000000e+00
73,1.612903e-01,5.000000e-01,4.853020e-01,-6.350946e-11,-4.853020e-01,1.000000e+00
74,1.774194e-01,5.000000e-01,5.289640e-01,-7.126649e-11,-5.289640e-01,1.000000e+00
75,1.935484e-01,5.000000e-01,5.712682e-01,-7.808928e-11,-5.712682e-01,1.000000e+00
76,2.096774e-01,5.000000e-01,6.121060e-01,-8.498298e-11,-6.121060e-01,1.000000e+00
77,2.258065e-01,5.000000e-01,6.513725e-01,-9.271547e-11,-6.513725e-01,1.000000e+00
78,2.419355e-01,5.000000e-01,6.889669e-01,-1.009444e-10,-6.889669e-01,1.000000e+00
79,2.580645e-01,5.000000e-01,7.247928e-01,-1.074017e-10,-7.247928e-01,1.000000e+00
80,2.741935e-01,5.000000e-01,7.587581e-01,-1.138853e-10,-7.587581e-01,1.000000e+00
81,2.903226e-01,5.000000e-01,7.907757e-01,-1.218055e-10,-7.907757e-01,1.000000e+00
82,3.064516e-01,5.000000e-01,8.207634e-01,-1.288845e-10,-8.207634e-01,1.000000e+00
83,3.225806e-01,5.000000e-01,8.486443e-01,-1.353501e-10,-8.486443e-01,1.000000e+00
84,3.387097e-01,5.000000e-01,8.743466e-01,-1.415556e-10,-8.743466e-01,1.000000e+00
85,3.548387e-01,5.000000e-01,8.978045e-01,-1.476719e-10,-8.978045e-01,1.000000e+00
86,3.709677e-01,5.000000e-01,9.189578e-01,-1.542255e-10,-9.189578e-01,1.000000e+00
87,3.870968e-01,5.000000e-01,9.377521e-01,-1.590013e-10,-9.377521e-01,1.000000e+00
88,4.032258e-01,5.000000e-01,9.541393e-01,-1.637920e-10,-9.541393e-01,1.000000e+00
89,4.193548e-01,5.000000e-01,9.680771e-01,-1.676412e-10,-9.680771e-01,1.000000e+00
90,4.354839e-01,5.000000e-01,9.795299e-01,-1.720762e-10,-9.795299e-01,1.000000e+00
91,4.516129e-01,5.000000e-01,9.884683e-01,-1.746729e-10,-9.884683e-01,1.000000e+00
92,4.677419e-01,5.000000e-01,9.948693e-01,-1.758211e-10,-9.948693e-01,1.000000e+00
93,4.838710e-01,5.000000e-01,9.987165e-01,-1.778858e-10,-9.987165e-01,1.000000e+00
94,5.161290e-01,5.000000e-01,9.987165e-01,-1.775874e-10,-9.987165e-01,1.000000e+00
95,5.322581e-01,5.000000e-01,9.948693e-01,-1.766708e-10,-9.948693e-01,1.000000e+00
96,5.483871e-01,5.000000e-01,9.884683e-01,-1.744084e-10,-9.884683e-01,1.000000e+00
97,5.645161e-01,5.000000e-01,9.795299e-01,-1.716097e-10,-9.795299e-01,1.000000e+00
98,5.806452e-01,5.000000e-01,9.680771e-01,-1.680842e-10,-9.680771e-01,1.000000e+00
99,5.967742e-01,5.000000e-01,9.541393e-01,-1.644304e-10,-9.541393e-01,1.000000e+00
100,6.129032e-01,5.000000e-01,9.377521e-01,-1.579605e-10,-9.377521e-01,1.000000e+00
101,6.290323e-01,5.000000e-01,9.189578e-01,-1.536410e-10,-9.189578e-01,1.000000e+00
102,6.451613e-01,5.000000e-01,8.978045e-01,-1.483359e-10,-8.978045e-01,1.000000e+00
103,6.612903e-01,5.000000e-01,8.743466e-01,-1.414806e-10,-8.743466e-01,1.000000e+00
104,6.774194e-01,5.000000e-01,8.486443e-01,-1.343975e-10,-8.486443e-01,1.000000e+00
105,6.935484e-01,5.000000e-01,8.207634e-01,-1.268017e-10,-8.207634e-01,1.000000e+00
106,7.096774e-01,5.000000e-01,7.907757e-01,-1.198989e-10,-7.907757e-01,1.000000e+00
107,7.258065e-01,5.000000e-01,7.587581e-01,-1.147739e-10,-7.587581e-01,1.000000e+00
108,7.419355e-01,5.000000e-01,7.247928e-01,-1.061010e-10,-7.247928e-01,1.000000e+00
109,7.580645e-01,5.000000e-01,6.889669e-01,-9.919969e-11,-6.889669e-01,1.000000e+00
110,7.741935e-01,5.000000e-01,6.513725e-01,-9.265961e-11,-6.513725e-01,1.000000e+00
111,7.903226e-01,5.000000e-01,6.121060e-01,-8.496924e-11,-6.121060e-01,1.000000e+00
112,8.064516e-01,5.000000e-01,5.712682e-01,-7.665602e-11,-5.712682e-01,1.000000e+00
113,8.225806e-01,5.000000e-01,5.289640e-01,-7.019086e-11,-5.289640e-01,1.000000e+00
114,8.387097e-01,5.000000e-01,4.853020e-01,-6.350348e-11,-4.853020e-01,1.000000e+00
115,8.548387e-01,5.000000e-01,4.403942e-01,-5.681836e-11,-4.403942e-01,1.000000e+00
